Date,Open,High,Low,Close,Volume,Adj Close
2011-11-21,8494.84,8596.31,8197.12,8273.58,4927490000,8273.58
2011-11-18,8822.19,8980.93,8421.08,8497.31,5881030000,8497.31
2011-11-17,8281.14,8898.41,7947.74,8835.25,7849120000,8835.25
2011-11-16,8684.52,8684.52,8235.66,8282.66,5764180000,8282.66
2011-11-15,8864.32,8892.2,8499.62,8693.96,4998340000,8693.96
2011-11-14,8946.6,9212.94,8735.61,8870.54,4572000000,8870.54
2011-11-11,8696.03,9032.54,8661.22,8943.81,4931640000,8943.81
2011-11-10,9134.01,9216.37,8607.14,8695.79,6102230000,8695.79
2011-11-09,9616.6,9628.15,9086.06,9139.27,5426640000,9139.27
2011-11-08,9323.89,9711.46,9323.89,9625.28,5531290000,9625.28
2011-11-07,9326.04,9488.92,9175.03,9319.83,4492280000,9319.83
2011-11-04,9179.09,9498.48,9014.78,9325.01,6394350000,9325.01
2011-11-03,9004.66,9380.36,8916.81,9180.69,6175830000,9180.69
2011-11-02,9062.33,9405.05,8800.61,8990.96,7077800000,8990.96
2011-11-01,8178.72,9112.51,8153.79,9065.12,7096950400,9065.12
2011-10-31,8375.92,8639.64,8085.37,8175.77,5558050000,8175.77
2011-10-28,8683.21,8683.21,8088.63,8378.95,6550050000,8378.95
2011-10-27,8519.77,8864.48,8200.06,8691.25,7189900000,8691.25
2011-10-26,9027.84,9027.84,8324.07,8519.21,6147980000,8519.21
2011-10-25,9179.11,9293.07,9017.3,9045.21,5121830000,9045.21
2011-10-24,8852.3,9305.89,8799.49,9265.43,5175640000,9265.43
2011-10-21,8975.35,9304.38,8640.83,8852.22,6581780000,8852.22
2011-10-20,8577.04,9073.64,8176.17,8979.26,7984500000,8979.26
2011-10-19,9301.91,9301.91,8516.5,8577.91,6542330000,8577.91
2011-10-18,9388.97,9924.28,9050.06,9310.99,8161990400,9310.99
2011-10-17,8462.42,9501.91,8462.42,9387.61,7263369600,9387.61
2011-10-14,8568.67,8989.13,7773.71,8451.19,11456230400,8451.19
2011-10-13,9261.69,9522.77,8523.27,8579.19,8285670400,8579.19
2011-10-12,9437.23,9778.04,9042.97,9258.1,8716329600,9258.1
2011-10-11,9955.42,10205.04,9391.67,9447.11,7069209600,9447.11
2011-10-10,10322.52,10322.52,9503.1,9955.5,7956020000,9955.5
2011-10-07,10483.96,10844.69,10261.75,10325.38,6716120000,10325.38
2011-10-06,10825.54,10843.1,10368.08,10482.85,6285640000,10482.85
2011-10-05,10847.4,11022.06,10495.99,10831.07,5782130000,10831.07
2011-10-04,10371.58,10922.03,10371.58,10850.66,6065000000,10850.66
2011-10-03,11139.62,11139.62,10266.76,10365.45,7305060000,10365.45
2011-09-30,11019.04,11218.48,10781.37,11143.13,5383610000,11143.13
2011-09-29,10827.17,11206.05,10799.77,11022.06,5877640000,11022.06
2011-09-28,10850.02,11041.02,10696.38,10825.17,4820360000,10825.17
2011-09-27,11015.69,11214.65,10763.77,10854.17,5185730000,10854.17
2011-09-26,11394.42,11450.81,10956.43,11015.69,5368130000,11015.69
2011-09-23,11027.51,11415.48,11027.51,11388.44,9387169600,11388.44
2011-09-22,10609.01,11149.07,10403.75,11019.69,10082689600,11019.69
2011-09-21,11056.58,11068.87,10521.81,10609.66,9431870400,10609.66
2011-09-20,10905.62,11193.12,10604.7,11059.02,9459830400,11059.02
2011-09-19,11416.37,11416.37,10849.85,10917.51,8279510400,10917.51
2011-09-16,11429.32,11532.72,11191.08,11421.99,6273260000,11421.99
2011-09-15,11264.44,11461.15,11018.72,11433.71,6869249600,11433.71
2011-09-14,11233.91,11453.5,11135.64,11268.92,6543440000,11268.92
2011-09-13,11514.73,11623.5,11209.81,11230.73,7380630400,11230.73
2011-09-12,11224.87,11656.64,11224.87,11510.74,7351340000,11510.74
2011-09-09,11185.63,11301.73,10998.77,11220.96,5017080000,11220.96
2011-09-08,11532.48,11532.48,11130.26,11188.23,5212500000,11188.23
2011-09-07,11506.01,11629.69,11328.84,11532.88,5056980000,11532.88
2011-09-06,11545.63,11831.29,11444.79,11516.92,4783560000,11516.92
2011-09-02,11713.23,11730.49,11508.78,11543.55,3288120000,11543.55
2011-09-01,11499.87,11756.46,11493.72,11715.18,3854280000,11715.18
2011-08-31,11412.46,11575.14,11349.69,11502.51,3499610000,11502.51
2011-08-30,11383.56,11483.62,11284.47,11412.87,3587570000,11412.87
2011-08-29,11626.19,11626.19,11336.82,11386.25,3420600000,11386.25
