source,target,value
Alappuzha,Kollam Junction,1
Samastipur Junction,Khagaria Junction,1
Khagaria Junction,Samastipur Junction,1
Raghunathpur,Patna Junction,1
Furkating Junction,Mariani Junction,1
Mariani Junction,Furkating Junction,1
Kozhikode Main,Shoranur Junction,1
Shoranur Junction,Kozhikode Main,1
Bangalore City Junction,Marikuppam,1
Aishbagh,Sitapur,1
Marikuppam,Bangalore City Junction,1
Tilak Bridge,Rewari,1
Sitapur,Aishbagh,1
Rewari,Tilak Bridge,1
Nagpur Junction,Ramakona,1
Ramakona,Nagpur Junction,1
Gomoh Junction,Asansol Junction,1
Asansol Junction,Gomoh Junction,1
Sitapur City,Shahjehanpur,1
Durg Junction,Dalli Rajhara,1
Dalli Rajhara,Durg Junction,1
Bhatinda Junction,Firozpur Cantt.,1
Old Delhi,Panipat Junction,1
Panipat Junction,Old Delhi,1
Firozpur Cantt.,Bhatinda Junction,1
Firozpur Cantt.,Fazilka,1
Fazilka,Firozpur Cantt.,1
Barauni Junction,Hajipur Junction,1
Hindupur,Bangalore City Junction,1
Bayana Junction,Yamuna Bridge Agra,1
Yamuna Bridge Agra,Bayana Junction,1
Hajipur Junction,Barauni Junction,1
New Jalpaiguri,Darjeeling,1
Kozhikode Main,Kannur Main,1
Kannur Main,Kozhikode Main,1
Kanniyakumari,Tirunelveli Junction,1
Dhanbad Junction,Hazaribagh Road,1
Churu,Sikar Junction,1
Mumbai Borivali,Dahanu Road,1
Tiruchirappalli Junction,Karaikkudi Junction,1
Karaikkudi Junction,Tiruchirappalli Junction,1
Sikar Junction,Churu,1
Guwahati,Chaparmukh Junction,1
Chaparmukh Junction,Guwahati,1
Chitradurg,Harihar,1
Harihar,Chitradurg,1
Karjat,Pune Junction,1
Mhow,Ujjain Junction,1
Cuttack,Puri,1
Ujjain Junction,Mhow,1
Puri,Cuttack,1
Pune Junction,Karjat,1
Mangalore Central,Subrahmanya Road,1
Katihar Junction,Radhikapur,1
Subrahmanya Road,Mangalore Central,1
Gaya Junction,Patna Junction,1
Patna Junction,Gaya Junction,1
Shahjehanpur,Sitapur Cantt.,1
Sabalgarh,Gwalior Junction,1
Sitapur Cantt.,Shahjehanpur,1
Gwalior Junction,Sabalgarh,1
Gudur Junction,Tirupati Main,1
Delhi Hazrat Nizamuddin,Kosi Kalan,1
Bhavnagar Terminus,Botad Junction,1
Tirupati Main,Gudur Junction,1
Botad Junction,Bhavnagar Terminus,1
Kolkata Sealdah,Shantipur,1
Barauni Junction,Sonpur Junction,1
Radhikapur,Katihar Junction,1
Sonpur Junction,Barauni Junction,1
Kosi Kalan,Delhi Hazrat Nizamuddin,1
Bagalkot,Gadag Junction,1
Gadag Junction,Bagalkot,1
Buxar,Mughal Sarai Junction,1
Old Delhi,Shamli,1
Shamli,Old Delhi,1
Mughal Sarai Junction,Buxar,1
Barharwa Junction,Azimganj Junction,1
Meerut City,Khurja Junction,1
Khurja Junction,Meerut City,1
Delvada,Veraval,1
Azimganj Junction,Barharwa Junction,1
Veraval,Delvada,1
Badarpur Junction,Bhairabi,1
Bhairabi,Badarpur Junction,1
Dhuri Junction,Bhatinda Junction,1
Kalka,Shimla,1
Gudivada Junction,Narasapur,1
Kottayam,Kollam Junction,1
Balamu Junction,Shahjehanpur,1
Shahjehanpur,Balamu Junction,1
Kollam Junction,Kottayam,1
Shimla,Kalka,1
Sitapur Cantt.,Burhwal,1
Burhwal,Sitapur Cantt.,1
Kiul Junction,Jasidih Junction,1
Ernakulam Junction (South),Guruvayur,1
Guruvayur,Ernakulam Junction (South),1
Bairgania,Darbhanga Junction,1
Darbhanga Junction,Bairgania,1
Bilaspur Junction,Gevra Road,1
Ara,Sasaram,1
Sasaram,Ara,1
Rajahmundry,Narasapur,1
Katni,Satna,1
Satna,Katni,1
Kolkata Sealdah,Krishnanagar City Junction,1
Banda Junction,Manikpur Junction,1
Manikpur Junction,Banda Junction,1
Chhota Udepur,Pratapnagar,1
Pratapnagar,Chhota Udepur,1
Mokameh Junction,Danapur,1
Danapur,Mokameh Junction,1
Vadodara Junction,Ahmedabad Junction,1
Ahmedabad Junction,Vadodara Junction,1
Gomoh Junction,Barkakana Junction,1
Barkakana Junction,Gomoh Junction,1
Chakradharpur,Rourkela,1
Jharsuguda Junction,Rourkela,1
Ernakulam Junction (South),Kayamkulam Junction,1
Rourkela,Jharsuguda Junction,1
Kayamkulam Junction,Ernakulam Junction (South),1
Shoranur Junction,Coimbatore Main Junction,1
Amravati,Wardha Junction,1
Bangalore City Junction,Hindupur,1
Rourkela,Chakradharpur,1
Bulandshahr,New Delhi,1
Erode Junction,Mettur Dam,1
Muri,Dhanbad Junction,1
Dhanbad Junction,Muri,1
Wardha Junction,Amravati,1
Benoy Badal Dinesh Gardens,Krishnanagar City Junction,1
Chunar,Chopan,1
Biramitrapur,Barsuan,1
Ledo,Dibrugarh Town,1
Dibrugarh Town,Ledo,1
Barsuan,Biramitrapur,1
Gondia Junction,Wadsa,1
Malda Town,Balurghat,1
Bareilly MG,Kasganj Mg,1
Jaijon Doaba,Jalandhar City,1
