constituency,category,name,sex,party,votes,color
Sholavandan,(SC),Karuppiah M V,M,AIADMK,86376,#9DBC2A
Perundurai,GEN,Venkatachalam.N.D,M,AIADMK,89960,#9DBC2A
Erode East,GEN,Chandhirakumar V.C,M,DMDK,69166,#8064a2
Tenkasi,GEN,Sarath Kumar.R,M,AIADMK,92253,#9DBC2A
Kangayam,GEN,Nataraj.Nsn,M,AIADMK,96005,#9DBC2A
Tirukkoyilur,GEN,Venkatesan.L,M,DMDK,78229,#8064a2
Nanguneri,GEN,A.Narayanan,M,AIADMK,65510,#9DBC2A
Bhavanisagar,(SC),Sundaram P.L,M,CPI,82890,#F05A00
Palladam,GEN,Paramasivam.K.P,M,AIADMK,118140,#9DBC2A
Dharapuram,(SC),Ponnusamy.K,M,AIADMK,83856,#9DBC2A
Mettupalayam,GEN,Chinnaraj O K,M,AIADMK,93700,#9DBC2A
Nilakkottai,(SC),Ramasamy.A,M,PT,75124,#4bacc6
Gobichettipalayam,GEN,Sengottaiyan K.A,M,AIADMK,94872,#9DBC2A
Anthiyur,GEN,Ramanitharan.S.S,M,AIADMK,78496,#9DBC2A
Srivilliputhur,(SC),V. Ponnupandi,M,CPI,73485,#F05A00
Sattur,GEN,R.B.Uthayakumar,M,AIADMK,88918,#9DBC2A
Virudhunagar,GEN,Pandiarajan.K,M,DMDK,70441,#8064a2
Aruppukkottai,GEN,Vaigaichelvan,M,AIADMK,76546,#9DBC2A
Tiruttani,GEN,Arunsubramanian. M,M,DMDK,95918,#8064a2
Tiruchuli,GEN,Thangam Thenarasu,M,DMK,81613,#800000
Thoothukudi,GEN,Chellapandian S.T,M,AIADMK,89010,#9DBC2A
Tiruppur North,GEN,Anandan.M.S.M,M,AIADMK,113640,#9DBC2A
Avadi,GEN,Abdul Rahim.S,M,AIADMK,110102,#9DBC2A
Ponneri,(SC),Pon. Raja,M,AIADMK,93624,#9DBC2A
Avanashi,(SC),Karuppasamy.M.A.,M,AIADMK,103002,#9DBC2A
Modakurichi,GEN,Kittusamy R.N,M,AIADMK,87705,#9DBC2A
Tiruvadanai,GEN,Thangavelan Suba,M,DMK,64165,#800000
Srivaikuntam,GEN,Shunmuganathan.S.P,M,AIADMK,69708,#9DBC2A
Radhapuram,GEN,S.Michael Rayappan,M,DMDK,67072,#8064a2
Madathukulam,GEN,C.Shanmugavelu,M,AIADMK,78622,#9DBC2A
Colachal,GEN,Prince.J.G,M,INC,58428,#019733
Rajapalayam,GEN,K.Gopalsamy,M,AIADMK,80125,#9DBC2A
