rank,image,Country,overall_life,male,female,url
123, //upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Moldova.svg/46px-Flag_of_Moldova.svg.png,Moldova,71,67,75,http://en.wikipedia.org/wiki/Moldova
124, //upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/45px-Flag_of_Russia.svg.png,Russia,70,64,76,http://en.wikipedia.org/wiki/Russia
125, //upload.wikimedia.org/wikipedia/commons/thumb/9/91/Flag_of_Bhutan.svg/45px-Flag_of_Bhutan.svg.png,Bhutan,70.8,69.2,72.4,http://en.wikipedia.org/wiki/Bhutan
126, //upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_Guyana.svg/46px-Flag_of_Guyana.svg.png,Guyana,70.5,67.5,73.5,http://en.wikipedia.org/wiki/Guyana
127, //upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg/46px-Flag_of_the_Federated_States_of_Micronesia.svg.png,Micronesia,70,68,72,http://en.wikipedia.org/wiki/Federated_States_of_Micronesia
128, //upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/45px-Flag_of_India.svg.png,India,70,67,73,http://en.wikipedia.org/wiki/India
129, //upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/46px-Flag_of_Bangladesh.svg.png,Bangladesh,70,69.5,70.5,http://en.wikipedia.org/wiki/Bangladesh
130, //upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Kyrgyzstan.svg/46px-Flag_of_Kyrgyzstan.svg.png,Kyrgyzstan,69,65,72,http://en.wikipedia.org/wiki/Kyrgyzstan
131, //upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/45px-Flag_of_Iraq.svg.png,Iraq,69,65,72,http://en.wikipedia.org/wiki/Iraq
132, //upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/46px-Flag_of_North_Korea.svg.png,North Korea,69,66,72,http://en.wikipedia.org/wiki/North_Korea
