constituency,file_src,alliance
aranthangi,aranthangi/cong_ramachandran.jpg,
aranthangi,aranthangi/naam_shakila_babu.jpg,
aranthangi,aranthangi/ea_rathinasabapathi_aranthaingi_admk.jpg,
aranthangi,aranthangi/cpi_loganathan.jpg,
aranthangi,aranthangi/pmk_selvam.jpg,
vilathikulam,vilathikulam/NAM_THAMILAR_MARUTHANAYAGAM_.JPG,
vilathikulam,vilathikulam/srinivasa_ramanijam_pmk.JPG,
vilathikulam,vilathikulam/tmk_kadhirvel.JPG,
vilathikulam,vilathikulam/RAMAMURTHY_BJP.JPG,
vilathikulam,vilathikulam/dmk_beemraj.JPG,
palani,palani/naam_vinoth.jpg,
palani,palani/ADMK_KUMARASAMY.jpg,
palani,palani/bjp_kanagaraj.jpg,
palani,palani/DMK_SENTHILKUMAR.jpg,
palani,palani/PMK_NAGARAJA.jpg,
thiruverambur,thiruverambur/ijk_ananthan.jpg,
thiruverambur,thiruverambur/pmk.jpg,
thiruverambur,thiruverambur/bjp.jpg,
thiruverambur,thiruverambur/admk_myvizhi.jpg,
thiruverambur,thiruverambur/vck_sujadevi.jpg,
thiruverambur,thiruverambur/naam_sathya.jpg,
thiruverambur,thiruverambur/dmk_stalinkumar.jpg,
thiruverambur,thiruverambur/dmdk.jpg,
thiruverambur,thiruverambur/nam_tamilar.jpg,
thiruverambur,thiruverambur/admk.jpg,
thiruverambur,thiruverambur/dmk.jpg,
sankarankovil,sankarankovil/vm rajalakshmi_sankarankovil_admk.jpg,
sankarankovil,sankarankovil/Sankarankoil_kunaseelan_bjp.JPG,
sankarankovil,sankarankovil/DMK_Sankarankoil_-_Anbumani_ganesan.JPG,
sankarankovil,sankarankovil/PMK-_Sankarankovil_Sureshkumar.JPG,
sankarankovil,sankarankovil/MDMK_Sankarankovil-_Sathan_thirumalaikumar.JPG,
sankarankovil,sankarankovil/NTK_Sankarankovil_-_Amutha.JPG,
srivilliputhur,srivilliputhur/pmk_.jpg,
srivilliputhur,srivilliputhur/naam.jpg,
srivilliputhur,srivilliputhur/cpi_.jpg,
srivilliputhur,srivilliputhur/admk_chandirapraba.jpg,
srivilliputhur,srivilliputhur/bjp_ramasamy.jpg,
srivilliputhur,srivilliputhur/pt_.jpg,
kadaiyanallur,kadaiyanallur/NTK_rPasumpon.JPG,
kadaiyanallur,kadaiyanallur/PMK- Thirumalaikumarasamy.jpg,
kadaiyanallur,kadaiyanallur/IUML- Abu bakkar sidiq.JPG,
kadaiyanallur,kadaiyanallur/BJP- Kathirvel.JPG,
kadaiyanallur,kadaiyanallur/TMML_ shek thavudu.jpg,
kadaiyanallur,kadaiyanallur/DMDK_Kothai mariyappan.JPG,
ambur,ambur/pmk_basah.jpg,
ambur,ambur/dmdk_vasu.jpg,
ambur,ambur/admk_bala.jpg,
ambur,ambur/bjp_venkat.jpg,
ambur,ambur/mnmk_naseeb.jpg,
ambur,ambur/ntk.jpg,
kumbakonam,kumbakonam/pmk_venkataraman.jpg,
kumbakonam,kumbakonam/naam.jpg,
kumbakonam,kumbakonam/admk_rathina_sekar.jpg,
kumbakonam,kumbakonam/dmk_anbalagan.jpg,
kumbakonam,kumbakonam/dmdk.jpg,
kumbakonam,kumbakonam/bjp_pl_annamalai.jpg,
thiruparamkuntram,thiruparamkuntram/arumugam_bjp.jpg,
thiruparamkuntram,thiruparamkuntram/balamurugan_pmk.jpg,
thiruparamkuntram,thiruparamkuntram/kandasamy_cpm.jpg,
thiruparamkuntram,thiruparamkuntram/manimaran_dmk.jpg,
thiruparamkuntram,thiruparamkuntram/sm_chenevelu_thiruparamkuinram_admk.jpg,
thiruparamkuntram,thiruparamkuntram/list_name.py,
thiruparamkuntram,thiruparamkuntram/magadevan_naam.jpg,
trichy east,trichy east/pmk.jpg,
trichy east,trichy east/bjp.jpg,
trichy east,trichy east/nam_tamilar.jpg,
trichy east,trichy east/congress.jpg,
trichy east,trichy east/mdmk.jpg,
trichy east,trichy east/admk.jpg,
sivakasi,sivakasi/cong_raja.jpg,
sivakasi,sivakasi/bjp_parthasarthi.jpg,
sivakasi,sivakasi/nama_tamilar_babu.jpg,
sivakasi,sivakasi/pmk_thilakabama.jpg,
