ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,votes,party,color
Pondicherry,1980,13,1,Bahour,SC,P. UTHIRAVELU,M,,,4154,JNP,#9A9E56
Pondicherry,1980,14,1,Thirubuvanai,SC,P. CATTAVARAYANE,M,,,6001,INC,#019733
Pondicherry,1980,15,1,Mannadipeth,GEN,D. RAMACHANDRAN,M,,,5598,DMK,#800000
Pondicherry,1980,16,1,Ossudu,SC,P. MURTHY,M,,,5122,DMK,#800000
Pondicherry,1980,17,1,Villenour,GEN,M. VENUGOPAL,M,,,3810,DMK,#800000
Pondicherry,1980,18,1,Ozhukarai,GEN,G. PERUMAL RAJA,M,,,5493,DMK,#800000
Pondicherry,1980,19,1,Thattanchavady,GEN,V. PETHAPERUMAL,M,,,4824,JNP,#9A9E56
Pondicherry,1980,20,1,Reddiarpalayam,GEN,RENUKA APPADURAI,F,,,5409,INC,#019733
Pondicherry,1980,21,1,Lawspet,GEN,M. O. H. FAROOK,M,,,8980,INC,#019733
Pondicherry,1980,22,1,Cotchery,GEN,G. PANJAVARNAM,M,,,4133,DMK,#800000
Pondicherry,1980,23,1,Karaikal,GEN,V. M. SALIH MARICAR,M,,,4778,IND,#888888
Pondicherry,1980,24,1,Karaikal South,GEN,S. SAVARIRAJAN,M,,,4867,INC,#019733
Pondicherry,1980,25,1,Neravy-Grand Aldee,GEN,V. M. C. SIVAKUMAR,M,,,5315,DMK,#800000
Pondicherry,1980,26,1,Tirunallar,GEN,N. V. RAMALINGAM,M,,,3573,DMK,#800000
Pondicherry,1980,27,1,Neduncadu,SC,M. CHANDIRAKASU,M,,,4981,INC,#019733
Pondicherry,1980,28,1,Mahe,GEN,K. V. RAGHAVAN,M,,,2638,CPM,#DE0000
Pondicherry,1980,29,1,Palloor,GEN,N. K. SACHINDRANATH,M,,,2567,INC,#019733
Pondicherry,1980,30,1,Yanam,GEN,KAMICHETTY SRI PARASSOURAMA VARAPRASSADA RAO,M,,,2433,IND,#888888
Pondicherry,1985,1,1,Muthialpet,GEN,G. PALANIRAJA,M,,,7820,DMK,#800000
Pondicherry,1985,2,1,Cassicade,GEN,P. KANNAN,M,,,5273,INC,#019733
Pondicherry,1985,3,1,Raj Bhavan,GEN,L. JOSEPH MARIADOSS,M,,,2419,INC,#019733
Pondicherry,1985,4,1,Bussy,GEN,C. M. ACHRAFF,M,,,2213,INC,#019733
Pondicherry,1985,5,1,Oupalam,GEN,P. K. LOGANATHAN,M,,,3898,ADMK,#9DBC2A
Pondicherry,1985,6,1,Orleampeth,GEN,M.A..S. SUBRAMANIAN,M,,,6635,ADMK,#9DBC2A
Pondicherry,1985,7,1,Nellithope,GEN,R.V.JANAKIRAMAN,M,,,5526,DMK,#800000
Pondicherry,1985,8,1,Modeliarpeth,GEN,V. SABAPATHY KOTHANDARAMAN,M,,,6260,INC,#019733
Pondicherry,1985,9,1,Ariankuppam,GEN,P. PURUSHOTHAMAN,M,,,5505,ADMK,#9DBC2A
Pondicherry,1985,10,1,Embalom,SC,K. ANBALAGAN,M,,,4509,ADMK,#9DBC2A
Pondicherry,1985,11,1,Nettapakkam,GEN,V. VAITHILINGAM,M,,,6946,INC,#019733
Pondicherry,1985,12,1,Kuruvinatham,GEN,R. RAMANSTHAN,M,,,4207,DMK,#800000
Pondicherry,1985,13,1,Bahour,SC,P. UTHIRAVELU,M,,,4911,JNP,#9A9E56
Pondicherry,1985,14,1,Thirubuvanai,SC,S. KOMALA,F,,,5745,DMK,#800000
Pondicherry,1985,15,1,Mannadipeth,GEN,D. RAMACHANDRAN,M,,,6383,DMK,#800000
Pondicherry,1985,16,1,Ossudu,SC,V. NAGARATHINAM,M,,,6176,INC,#019733
Pondicherry,1985,17,1,Villenour,GEN,R. SUBRAYA COUNDER,M,,,5696,INC,#019733
Pondicherry,1985,18,1,Ozhukarai,GEN,R. SOMASUNDARAM,M,,,5729,ADMK,#9DBC2A
Pondicherry,1985,19,1,Thattanchavady,GEN,V. PETHAPERUMAL,M,,,6228,JNP,#9A9E56
Pondicherry,1985,20,1,Reddiarpalayam,GEN,V. BALAJI,M,,,7852,INC,#019733
Pondicherry,1985,21,1,Lawspet,GEN,M.O.H. FAROOK,M,,,8804,INC,#019733
Pondicherry,1985,22,1,Cotchery,GEN,N. VENGADASALAM,M,,,5774,INC,#019733
Pondicherry,1985,23,1,Karaikal,GEN,V. GOVINDARAJAN,M,,,4784,INC,#019733
Pondicherry,1985,24,1,Karaikal South,GEN,S. RAMASSAMY,M,,,3808,IND,#888888
Pondicherry,1985,25,1,Neravy-Grand Aldee,GEN,V.M.C. VARADA PILLAI,M,,,5788,ADMK,#9DBC2A
