constituency,name,party,margin,state,votes,Year,rank
Minapur,RAJEEV KUMAR URF MUNNA YADAV,Rashtriya Janata Dal,23940,Bihar,80790,2015,1
Mohania (SC),NIRANJAN RAM,Bharatiya Janata Party,7581,Bihar,60911,2015,1
Mohiuddinnagar,EJYA YADAV,Rashtriya Janata Dal,23431,Bihar,47137,2015,1
Mokama,ANANT KUMAR SINGH,Independent,18348,Bihar,54005,2015,1
Morwa,VIDYA SAGAR SINGH NISHAD,Janata Dal (United),18816,Bihar,59206,2015,1
Motihari,PRAMOD KUMAR,Bharatiya Janata Party,18517,Bihar,79947,2015,1
Munger,VIJAY KUMAR 'VIJAY',Rashtriya Janata Dal,4365,Bihar,77216,2015,1
Muzaffarpur,SURESH KUMAR SHARMA,Bharatiya Janata Party,29739,Bihar,95594,2015,1
Nabinagar,VIRENDRA KUMAR SINGH,Janata Dal (United),5261,Bihar,42035,2015,1
Nalanda,SHRAWON KUMAR,Janata Dal (United),2996,Bihar,72596,2015,1
Narkatia,SHAMIM AHMAD,Rashtriya Janata Dal,19982,Bihar,75118,2015,1
Narkatiaganj,VINAY VARMA,Indian National Congress,16061,Bihar,57212,2015,1
Narpatganj,ANIL KUMAR YADAV,Rashtriya Janata Dal,25951,Bihar,90250,2015,1
Nathnagar,AJAY KUMAR MANDAL,Janata Dal (United),7825,Bihar,66485,2015,1
Nautan,NARAYAN PRASAD,Bharatiya Janata Party,14335,Bihar,66697,2015,1
Nawada,RAJBALLABH PRASAD,Rashtriya Janata Dal,16726,Bihar,88235,2015,1
Nirmali,ANIRUDH PRASAD YADAV,Janata Dal (United),23951,Bihar,79600,2015,1
Nokha,ANITA DEVI,Rashtriya Janata Dal,22998,Bihar,72780,2015,1
Obra,BIRENDRA KUMAR SINHA,Rashtriya Janata Dal,11396,Bihar,56042,2015,1
Paliganj,JAY VARDHAN YADAV ALIAS BACHCHA YADAV,Rashtriya Janata Dal,24453,Bihar,65932,2015,1
Parbatta,RAMANAD PRASAD SINGH,Janata Dal (United),28924,Bihar,76248,2015,1
Parihar,GAYTRI DEVI,Bharatiya Janata Party,4017,Bihar,66388,2015,1
Paroo,ASHOK KUMAR SINGH,Bharatiya Janata Party,13539,Bihar,80445,2015,1
Parsa,CHANDRIKA RAI,Rashtriya Janata Dal,42335,Bihar,77211,2015,1
Patepur (SC),PREMA CHAUDHARY,Rashtriya Janata Dal,12461,Bihar,67548,2015,1
Patna Sahib,NAND KISHORE YADAV,Bharatiya Janata Party,2792,Bihar,88108,2015,1
Phulparas,GULJAR DEVI,Janata Dal (United),13415,Bihar,64368,2015,1
Phulwari (SC),SHYAM RAJAK,Janata Dal (United),45713,Bihar,94094,2015,1
Pipra,SHYAMBABU PRASAD YADAV,Bharatiya Janata Party,3930,Bihar,65552,2015,1
Pipra,YADUBANSH KUMAR YADAV,Rashtriya Janata Dal,36369,Bihar,85944,2015,1
Pirpainti (SC),RAM VILASH PASWAN,Rashtriya Janata Dal,5144,Bihar,80058,2015,1
Pranpur,BINOD KUMAR SINGH,Bharatiya Janata Party,8101,Bihar,47924,2015,1
Purnia,VIJAY KUMAR KHEMKA,Bharatiya Janata Party,32815,Bihar,92020,2015,1
Rafiganj,ASHOK KUMAR SINGH,Janata Dal (United),9525,Bihar,62897,2015,1
Raghopur,TEJASHWI PRASAD YADAV,Rashtriya Janata Dal,22733,Bihar,91236,2015,1
Raghunathpur,HARISHANKAR YADAV,Rashtriya Janata Dal,10622,Bihar,61042,2015,1
Raja Pakar (SC),SHIVCHANDRA RAM,Rashtriya Janata Dal,15155,Bihar,61251,2015,1
Rajauli (SC),PRAKASH VEER,Rashtriya Janata Dal,4615,Bihar,70549,2015,1
Rajgir (SC),RAVI JYOTI KUMAR,Janata Dal (United),5390,Bihar,62009,2015,1
Rajnagar (SC),RAM PRIT PASWAN,Bharatiya Janata Party,6242,Bihar,71614,2015,1
Rajpur (SC),SANTOSH KUMAR NIRALA,Janata Dal (United),32788,Bihar,84184,2015,1
Ramgarh,ASHOK KUMAR SINGH,Bharatiya Janata Party,8011,Bihar,57501,2015,1
Ramnagar (SC),BHAGIRATHI DEVI,Bharatiya Janata Party,17988,Bihar,82166,2015,1
Raniganj (SC),ACHMIT RISHIDEV,Janata Dal (United),14930,Bihar,77717,2015,1
Raxaul,AJAY KUMAR SINGH,Bharatiya Janata Party,3169,Bihar,64731,2015,1
