year,constituency,ST_NAME,AC_NO,rank,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes,color,polled_votes
2006,Aruppukkottai,Tamil Nadu,204,1,GEN,Thangam Thennarasu,M,39,GEN,DMK,52002,#800000,115875
2006,Sattur,Tamil Nadu,205,1,GEN,Ramachandran.K.K.S.S.R.,M,56,GEN,DMK,73918,#800000,149088
2006,Virudhunagar,Tamil Nadu,206,1,GEN,Varadharajan.R.,M,48,GEN,MDMK,50629,#835C91,130333
2006,Sivakasi,Tamil Nadu,207,1,GEN,Gnanadoss.R,M,58,GEN,MDMK,79992,#835C91,183001
2006,Srivilliputhur,Tamil Nadu,208,1,GEN,Ramasamy.T,M,50,GEN,CPI,55473,#DE0000,135549
2006,Rajapalayam,Tamil Nadu,209,1,SC,Chandra. M.,F,45,SC,ADMK,58320,#9DBC2A,148122
2006,Vilathikulam,Tamil Nadu,210,1,GEN,Chinnappan.P,M,45,GEN,ADMK,45409,#9DBC2A,97171
2006,Ottapidaram,Tamil Nadu,211,1,SC,Mohan.P,M,45,SC,ADMK,38715,#9DBC2A,98404
2006,Kovilpatti,Tamil Nadu,212,1,GEN,Radhakrishnan.L,M,45,GEN,ADMK,53354,#9DBC2A,114478
2006,Sankarankovil,Tamil Nadu,213,1,SC,Karuppasamy C,M,51,SC,ADMK,50603,#9DBC2A,125468
2006,Vasudevanallur,Tamil Nadu,214,1,SC,Sadhan Thirumalai,M,53,SC,MDMK,45790,#835C91,113705
2006,Kadayanallur,Tamil Nadu,215,1,GEN,Peter Alphonse.S,M,55,GEN,INC,53700,#019733,120446
2006,Tenkasi,Tamil Nadu,216,1,GEN,Karuppasamy Pandian.V,M,57,GEN,DMK,69755,#800000,139570
2006,Alangulam,Tamil Nadu,217,1,GEN,Poongothai Aladiaruna,F,41,GEN,DMK,62299,#800000,135294
2006,Tirunelveli,Tamil Nadu,218,1,GEN,Malai Raja N,M,42,GEN,DMK,65517,#800000,142908
2006,Palayamkottai,Tamil Nadu,219,1,GEN,Mohideen Khan.T.P.M.,M,58,GEN,DMK,85114,#800000,148900
