ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes,color
Tamil Nadu,1980,78,1,Bargur,GEN,"Doraisamy, Bn.S",M,0,N/A,ADMK,39893,#9DBC2A
Tamil Nadu,1980,79,1,Harur,SC,"Sabapathy, C.",M,0,N/A,ADMK,40009,#9DBC2A
Tamil Nadu,1980,80,1,Morappur,GEN,"Kuppusamy, N.",M,0,N/A,ADMK,43096,#9DBC2A
Tamil Nadu,1980,81,1,Palacodu,GEN,"Munusamy, M.B.",M,0,N/A,ADMK,38999,#9DBC2A
Tamil Nadu,1980,82,1,Dharmapuri,GEN,"Aranganathan, S.",M,0,N/A,ADMK,33977,#9DBC2A
Tamil Nadu,1980,83,1,Pennagaram,GEN,"Theertha Raman, P",M,0,N/A,GKC,34590,#222
Tamil Nadu,1980,84,1,Mettur,GEN,"Nachimuthu, K.P",M,0,N/A,ADMK,48845,#9DBC2A
Tamil Nadu,1980,85,1,Taramangalam,GEN,"Semmalai, S",M,0,N/A,IND,49597,#888888
Tamil Nadu,1980,86,1,Omalur,GEN,"Sivaperuman, M",M,0,N/A,ADMK,42399,#9DBC2A
Tamil Nadu,1980,87,1,Yercaud,ST,Thiruman,M,0,N/A,ADMK,28869,#9DBC2A
Tamil Nadu,1980,88,1,Salem-I,GEN,"Krishnaraj, G",M,0,N/A,ADMK,50976,#9DBC2A
Tamil Nadu,1980,89,1,Salem-Ii,GEN,"Arumugam, M",M,0,N/A,ADMK,40975,#9DBC2A
Tamil Nadu,1980,90,1,Veerapandi,GEN,"Vijayalakshmi, P",F,0,N/A,ADMK,51034,#9DBC2A
Tamil Nadu,1980,91,1,Panamarathupatti,GEN,"Rajaram, K",M,0,N/A,ADMK,44218,#9DBC2A
Tamil Nadu,1980,92,1,Attur,GEN,"Palanimuthu, C",M,0,N/A,INC,38416,#019733
Tamil Nadu,1980,93,1,Talavasal,SC,"Rajambal, T.",F,0,N/A,INC,38217,#019733
Tamil Nadu,1980,94,1,Rasipuram,GEN,"Ramalingam, K. P",M,0,N/A,ADMK,49779,#9DBC2A
Tamil Nadu,1980,95,1,Senthamangalam,ST,"Sivaprakasam, S.",M,0,N/A,ADMK,37577,#9DBC2A
Tamil Nadu,1980,96,1,Namakkal,SC,Arunachalam R.,M,0,N/A,ADMK,42850,#9DBC2A
Tamil Nadu,1980,97,1,Kapilamalai,GEN,Velappan C. V.,M,0,N/A,ADMK,39224,#9DBC2A
Tamil Nadu,1980,98,1,Tiruchengodu,GEN,"Ponnaiyan, C.",M,0,N/A,ADMK,69122,#9DBC2A
Tamil Nadu,1980,99,1,Sankari,SC,"Dhanapal, P.",M,0,N/A,ADMK,45664,#9DBC2A
Tamil Nadu,1980,100,1,Edappadi,GEN,"Ganesan, I.",M,0,N/A,ADMK,37978,#9DBC2A
Tamil Nadu,1980,101,1,Mettuppalayam,GEN,"Palanisamy, S.",M,0,N/A,ADMK,48266,#9DBC2A
Tamil Nadu,1980,102,1,Avanashi,SC,"Arumugam, M.",M,0,N/A,CPI,33294,#DE0000
Tamil Nadu,1980,103,1,Thondamuthur,GEN,"Chinnaraj,",M,0,N/A,ADMK,57822,#9DBC2A
Tamil Nadu,1980,104,1,Singanallur,GEN,"Kulasekar, A. D.",M,0,N/A,DMK,44523,#800000
Tamil Nadu,1980,105,1,Coimbatore North,GEN,"Aranganayagam, C.",M,0,N/A,ADMK,38061,#9DBC2A
Tamil Nadu,1980,106,1,Coimbatore South,GEN,"Ramani, K.",M,0,N/A,CPM,33666,#DE0000
Tamil Nadu,1980,107,1,Perur,GEN,Kovaithambi,M,0,N/A,ADMK,47308,#9DBC2A
Tamil Nadu,1980,108,1,Kinathukkadavu,GEN,"Kandasamy, K. V.",M,0,N/A,ADMK,42822,#9DBC2A
Tamil Nadu,1980,109,1,Pollachi,GEN,"Rathinam, M. V.",M,0,N/A,ADMK,52833,#9DBC2A
Tamil Nadu,1980,110,1,Valparai,SC,"Karuppiah, A. T.",M,0,N/A,CPI,46406,#DE0000
Tamil Nadu,1980,111,1,Udumalpet,GEN,"Kolandaivelu, P.",M,0,N/A,ADMK,50570,#9DBC2A
Tamil Nadu,1980,112,1,Dharapuram,SC,"Periasamy, A.",M,0,N/A,ADMK,43319,#9DBC2A
Tamil Nadu,1980,113,1,Vellakoil,GEN,"Ramasami, D.",M,0,N/A,ADMK,56975,#9DBC2A
Tamil Nadu,1980,114,1,Pongalur,GEN,"Kandaswamy, P.",M,0,N/A,ADMK,40116,#9DBC2A
Tamil Nadu,1980,115,1,Palladam,GEN,Paramasiva Gounder,M,0,N/A,ADMK,40305,#9DBC2A
Tamil Nadu,1980,116,1,Tiruppur,GEN,"Manimaran, R.",M,0,N/A,ADMK,63371,#9DBC2A
Tamil Nadu,1980,117,1,Kangayam,GEN,"Krishnaswamy, K. G.",M,0,N/A,ADMK,45950,#9DBC2A
Tamil Nadu,1980,118,1,Modakkurichi,GEN,"Balakrishnan, S.",M,0,N/A,ADMK,56049,#9DBC2A
Tamil Nadu,1980,119,1,Perundurai,GEN,"Nallapan, T. K.",M,0,N/A,CPI,44210,#DE0000
Tamil Nadu,1980,120,1,Erode,GEN,"Muthusamy, S.",M,0,N/A,ADMK,62342,#9DBC2A
Tamil Nadu,1980,121,1,Bhavani,GEN,"Narayanan, P. G.",M,0,N/A,ADMK,44152,#9DBC2A
Tamil Nadu,1980,122,1,Andhiyur,SC,"Guruswamy, P.",M,0,N/A,ADMK,34498,#9DBC2A
Tamil Nadu,1980,123,1,Gobichettipalayam,GEN,"Sengottayan, K. A.",M,0,N/A,ADMK,44703,#9DBC2A
Tamil Nadu,1980,124,1,Bhavanisagar,GEN,"Subramaniam, G. K.",M,0,N/A,ADMK,38557,#9DBC2A
Tamil Nadu,1980,125,1,Sathyamangalam,GEN,"Rangasamy, R.",M,0,N/A,ADMK,35096,#9DBC2A
Tamil Nadu,1980,126,1,Coonoor,SC,"Ranganathan, M.",M,0,N/A,DMK,34424,#800000
Tamil Nadu,1980,127,1,Udhagamandalam,GEN,"Kallan, K.",M,0,N/A,INC,35528,#019733
Tamil Nadu,1980,128,1,Gudalur,GEN,"Hutchi, K.",M,0,N/A,DMK,36780,#800000
Tamil Nadu,1980,129,1,Palani,SC,"Palanivel, N.",M,0,N/A,CPM,41874,#DE0000
Tamil Nadu,1980,130,1,Oddamchatram,GEN,"Kuppuswamy, K.",M,0,N/A,ADMK,35269,#9DBC2A
Tamil Nadu,1980,131,1,Periyakulam,GEN,"Gopalakrishnan, K.",M,0,N/A,ADMK,43774,#9DBC2A
Tamil Nadu,1980,132,1,Theni,GEN,"Jeyaraman, V. R.",M,0,N/A,ADMK,51534,#9DBC2A
Tamil Nadu,1980,133,1,Bodinayakkanur,GEN,"Subramanian, K. M. S.",M,0,N/A,ADMK,50972,#9DBC2A
Tamil Nadu,1980,134,1,Cumbum,GEN,"Gopalan, R. T.",M,0,N/A,ADMK,47577,#9DBC2A
Tamil Nadu,1980,135,1,Andipatti,GEN,"Rajendran, S. S.",M,0,N/A,ADMK,44490,#9DBC2A
