year,constituency,ST_NAME,AC_NO,rank,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes,color,polled_votes
1967,Vasudevanallur,Tamil Nadu,213,1,GEN,A.Velladurai,M,0,,DMK,33865,#c0392b,67403
1967,Kadayanallur,Tamil Nadu,214,1,GEN,A.R.S.Mudaliar,M,0,,IND,36349,#bdc3c7,72855
1967,Tenkasi,Tamil Nadu,215,1,GEN,I.A.C.Pillai,M,0,,INC,34561,#2ecc71,69318
1967,Alangulam,Tamil Nadu,216,1,GEN,V.Arunachalam,M,0,,DMK,33509,#c0392b,65377
1967,Ambasamudram,Tamil Nadu,217,1,GEN,G.G.S.Dikshidar,M,0,,INC,30682,#2ecc71,66196
1967,Cheranmahadevi,Tamil Nadu,218,1,GEN,D.S.Authimoolam,M,0,,SWA,36206,#222,67322
1967,Gangaikondan,Tamil Nadu,219,1,SC,A.Karuppiah,M,0,,DMK,34797,#c0392b,58393
1967,Tirunelveli,Tamil Nadu,220,1,GEN,A.L.Subramanian,M,0,,DMK,41589,#c0392b,67362
1967,Melapalayam,Tamil Nadu,221,1,GEN,M.M.P.Mohammed,M,0,,IND,36123,#bdc3c7,65630
1967,Srivaikuntam,Tamil Nadu,222,1,GEN,Aditanar,M,0,,DMK,41828,#c0392b,66848
1967,Tuticorin,Tamil Nadu,223,1,GEN,M.S.Sivasami,M,0,,DMK,41851,#c0392b,69044
1967,Tiruchendur,Tamil Nadu,224,1,GEN,E.Fernando,M,0,,DMK,39619,#c0392b,70671
1967,Sattangulam,Tamil Nadu,225,1,GEN,Martin,M,0,,INC,31143,#2ecc71,59306
1967,Nanguneri,Tamil Nadu,226,1,GEN,N.Duraipandian,M,0,,INC,33269,#2ecc71,62366
1967,Radhapuram,Tamil Nadu,227,1,GEN,N.Soundarapandian,M,0,,INC,31588,#2ecc71,62628
1967,Kanniyakumari,Tamil Nadu,228,1,GEN,B.M.Pillai,M,0,,INC,37998,#2ecc71,66795
