YEAR,AC_NAME,PARTY,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,VOTES,polled_votes,color,Total Candidates
1990,Thattanchavady,JD,Pondicherry,19,1,GEN,V. PETHAPERUMAL,M,,,9503,18522,#222,7
1990,Reddiarpalayam,CPI,Pondicherry,20,1,GEN,R. VISWANATHAN,M,,,11153,21946,#ff5757,10
1990,Lawspet,INC,Pondicherry,21,1,GEN,M. O. H. FAROOK,M,,,12637,23842,#2ecc71,10
1990,Couchery,INC,Pondicherry,22,1,GEN,M. VAITHILINGAM,M,,,5189,14417,#2ecc71,7
1990,Karaikal North,INC,Pondicherry,23,1,GEN,S. M. THAVASU,M,,,5394,12996,#2ecc71,10
1990,Karaikal South,ADMK,Pondicherry,24,1,GEN,S. RAMASSAMY,M,,,6012,10674,#b2d33c,7
1990,Neravy-Grand Aldee,ADMK,Pondicherry,25,1,GEN,V. GANAPATHY,M,,,7102,13732,#b2d33c,7
1990,Tirunallar,IND,Pondicherry,26,1,GEN,R. KAMALAKKANNAN,M,,,4124,11553,#bdc3c7,6
1990,Nedungadu,INC,Pondicherry,27,1,SC,M. CHANDIRAKASSU,M,,,6174,11089,#2ecc71,6
1990,Mahe,INC,Pondicherry,28,1,GEN,E. VALSARAJ,M,,,5142,9174,#2ecc71,6
1990,Palloor,INC,Pondicherry,29,1,GEN,A. V. SREEDHARAN,M,,,5288,9048,#2ecc71,5
1990,Yanam,DMK,Pondicherry,30,1,GEN,RAKSHA HARIKRISHNA,M,,,4632,10775,#c0392b,6
1991,Muthialpet,ADMK,Pondicherry,1,1,GEN,M. BALASUBRAMANIAM,M,,,9175,17515,#b2d33c,8
1991,Cassicade,JD,Pondicherry,2,1,GEN,M. ELANGO,M,,,4927,9859,#222,11
1991,Raj Bhavan,INC,Pondicherry,3,1,GEN,A. GANDHIRAJ,M,,,2381,4914,#2ecc71,9
1991,Bussy,INC,Pondicherry,4,1,GEN,C. M.K ACHRAFF,M,,,3083,5243,#2ecc71,10
1991,Oupalam,ADMK,Pondicherry,5,1,GEN,U. C. ARUMUGAN,M,,,7352,12838,#b2d33c,10
1991,Orleampeth,ADMK,Pondicherry,6,1,GEN,K.PARASURAMAN,M,,,8697,14631,#b2d33c,8
1991,Nellithope,DMK,Pondicherry,7,1,GEN,R. V. JANAKIRAMAN,M,,,7067,14407,#c0392b,10
1991,Mudaliarpet,IND,Pondicherry,8,1,GEN,V. KOTHANDARAMAN ALIAS SABAPATHY,M,,,8230,18109,#bdc3c7,8
1991,Ariankuppam,DMK,Pondicherry,9,1,GEN,P. SUBBURAYAN,M,,,5794,16279,#c0392b,7
1991,Embalam,INC,Pondicherry,10,1,SC,K. PAKKIRI AMMAL,F,,,4171,11102,#2ecc71,6
1991,Nettapakkam,INC,Pondicherry,11,1,GEN,V. VAITHILINGAM,M,,,8095,12240,#2ecc71,9
1991,Kuruvinatham,INC,Pondicherry,12,1,GEN,T. THIAGARAJAN,M,,,6765,13079,#2ecc71,6
1991,Bahour,IND,Pondicherry,13,1,SC,P. RAJAVELU,M,,,6377,13114,#bdc3c7,5
