ISO,NAME,LON,LAT
bdc,Emberá-Baudó,-77.1533,5.23658
bdd,Bunama,151.06647,-10.07609
bde,Bade,10.65567,12.78899
bdg,Bonggi,117.17448,7.29249
bdh,Baka,29.70084,4.76584
bdi,Burun,33.92099,10.72505
bdj,Bai,26.48246,7.57221
bdk,Budukh,48.33533,41.22722
bdl,Indonesian Bajau,122.25334,-3.68664
bdm,Buduma,14.55587,13.37636
bdn,Baldemu,14.46735,10.90776
bdo,Bernde,17.64653,12.14611
bdp,Bende,30.59255,-6.22082
bdq,Bahnar,108.47084,14.04764
bdr,West Coast Bajau,116.12438,6.00631
bds,Burunge,35.96295,-5.21369
bdt,Bokoto,16.67208,4.75111
bdu,Oroko,9.15209,4.89504
bdv,Bodo Parja,82.87742,19.0745
bdw,Baham,132.63746,-3.10628
bdy,Bandjalang,152.85886,-28.34583
bdz,Badeshi,72.68225,35.2655
bea,Beaver,-120.35198,56.79842
beb,Bebele,12.82397,4.78874
bec,Iceve-Maci,9.50858,6.30667
bed,Bedoanas,132.56583,-2.74438
bee,Byangsi,80.447,29.883
bef,Benabena,145.53446,-6.09974
beg,Belait,114.93293,4.96207
beh,Biali,1.04245,10.7758
bej,Bedawi,35.80868,18.7757
beq,Beembe,14.10001,-3.95895
bek,Bebeli,150.32311,-5.63282
blc,Bella Coola,-126.68948,52.34481
bem,Bemba,30.5619,-10.11841
bng,Benga,9.4273,1.1972
beo,Beami,142.50775,-6.14949
bep,Besoa,120.37876,-1.60095
bkl,Berik,138.8659,-2.26904
bes,Besme,16.09382,9.59226
bet,Guiberoua Béte,-6.51291,6.13837
beu,Blagar,124.25117,-8.31787
bev,Daloa Bété,-6.63944,6.69281
bew,Betawi,107.02181,-6.21174
bex,Jur Modo,29.97403,6.03321
bey,Beli,142.33994,-3.67881
bez,Bena,35.03643,-9.26671
bfa,Bari,31.13922,4.74728
bfb,Pauri Bareli,74.337,21.228
bfc,Northern Bai,99.656,26.925
bfd,Bafut,10.11939,6.14153
bfe,Betaf,139.25538,-2.12422
bff,Bofi,17.30319,4.02043
bfg,Busang Kayan,115.40134,0.03494
bfs,Southern Bai,100.289,25.519
bca,Central Bai,99.70522,26.1666
bfj,Bafanji,10.45179,5.84612
bbb,Barai,147.89923,-9.46246
bfl,Banda-Ndélé,21.79831,8.05833
bfm,Mmen,10.25411,6.43213
bfo,Malba Birifor,-2.90623,9.78465
bfp,Beba,9.73577,6.32256
bfq,Badaga,76.59736,11.30938
bfr,Bazigar,77.22129,25.29769
bra,Braj Bhasha,78.08125,26.4758
bft,Balti,76.01403,35.15006
bfu,Gahri,77.01567,32.63756
bfw,Bondo,83.81415,19.15124
bfy,Bagheli,87.55073,22.86126
bfz,Mahasu Pahari,77.53166,31.00883
bga,Gwamhi-Wuri,5.07897,11.8081
bgb,Bobongko,121.92193,-0.36759
bgc,Haryanvi,76.0432,29.01658
bgd,Rathwi Bareli,74.99576,21.43752
bge,Bauria,75.87131,25.29769
bgf,Bangandu,15.32044,2.23863
bgg,Bugun,92.367,27.204
bgh,Bogan,101.438,24.512
bgi,Giangan,125.3591,6.99967
bgj,Bangolan,10.66697,6.0125
bgk,Bit,102.03513,21.44574
bgl,Bo,104.95342,18.18657
bgm,Baga Mboteni,-12.07358,12.27246
