party,constituency,year,age,category,color,electors,name,polled_votes,rank,sex,state,votes
IND,Bargarh,1951,,,#95b3d7,368978,Ghanshyam Das Thirani,98141,1,,Orissa,27461
INC,Cuttack,1951,,,#019733,399482,Harekrishna Mahtab,164145,1,,Orissa,89387
INC,Dhenkanal West Cuttack,1951,,,#019733,754809,Niranjan Jena,495558,1,,Orissa,133666
CPI,Ganjam South,1951,,,#DE0000,390236,Bijoy Chandra Das,109695,1,,Orissa,61002
IND,Ghumsur,1951,,,#95b3d7,386460,Umacharan Patnaik,145186,1,,Orissa,81880
INC,Jajpur Keonjhar,1951,,,#019733,729056,Bhubananda Das,457314,1,,Orissa,104114
GP,Kalahandi Bolangir,1951,,,#999,790404,Giridhari Bhoi,553858,1,,Orissa,198378
INC,Kendrapara,1951,,,#019733,400630,Nityananda Kanungo,173806,1,,Orissa,84540
INC,Khurda,1951,,,#019733,395605,Lingraj Misra,138531,1,,Orissa,66765
INC,Mayurbhanj,1951,,,#019733,376957,Ramchandra Majhi,108238,1,,Orissa,48830
GP,Nowrangpur,1951,,,#999,402950,Ponnada Subarao,143222,1,,Orissa,67257
INC,Puri,1951,,,#019733,387950,Lokanath Misra,155622,1,,Orissa,85945
INC,Rayagada Phulbani,1951,,,#019733,393599,T. Sangana,0,1,,Orissa,0
GP,Sambalpur,1951,,,#999,390596,Natabar Pandey,128485,1,,Orissa,70622
INC,Sundargarh,1951,,,#019733,389204,Sibnarayan Singh,179734,1,,Orissa,74062
SAD,Kapurthala Bhatinda,1951,,,#999,713275,Hukam Singh,863273,1,,Patiala And East Punjab States Union,210067
INC,Mohindergarh,1951,,,#019733,333436,Hira Singh,180559,1,,Patiala And East Punjab States Union,57290
INC,Patiala,1951,,,#019733,367485,Ram Partap,219562,1,,Patiala And East Punjab States Union,103552
IND,Sangrur,1951,,,#95b3d7,349335,Ranjit Singh,211718,1,,Patiala And East Punjab States Union,70569
INC,Ambala Simla,1951,,,#019733,365025,Tek Chand,200028,1,,Punjab,98249
INC,Amritsar,1951,,,#019733,360735,Gurmukh Singh Musaffar,180439,1,,Punjab,86382
INC,Fazilka Sirsa,1951,,,#019733,360933,Atma Singh,214413,1,,Punjab,75412
SAD,Ferozepore Ludhiana,1951,,,#999,764171,Lal Singh,811732,1,,Punjab,157908
INC,Gurdaspur,1951,,,#019733,353804,Teja Singh,182413,1,,Punjab,86052
INC,Gurgaon,1951,,,#019733,381963,Thakar Das,251946,1,,Punjab,113269
INC,Hissar,1951,,,#019733,370693,Achint Ram,188389,1,,Punjab,66266
INC,Hoshiarpur,1951,,,#019733,775828,Diwan Chand,799356,1,,Punjab,198585
INC,Jalandhar,1951,,,#019733,359274,Amar Nath,199468,1,,Punjab,100103
INC,Jhajjar Rewari,1951,,,#019733,382413,Ghamandi Lal,246224,1,,Punjab,102435
INC,Kangra,1951,,,#019733,338943,Hem Raj,159053,1,,Punjab,102669
INC,Karnal,1951,,,#019733,765032,Subhadra Joshi,842918,1,,Punjab,203588
INC,Nawan Shahr,1951,,,#019733,398321,Baldev Singh,250375,1,,Punjab,116109
INC,Rohtak,1951,,,#019733,363546,Ranbir Singh,253188,1,,Punjab,108148
INC,Tarn Taran,1951,,,#019733,377664,Surjit Singh,212396,1,,Punjab,78207
INC,Alwar,1951,,,#019733,382999,Sobha Ram,199856,1,,Rajasthan,112121
INC,Banswara Dungarpur,1951,,,#019733,396575,Bhikha Bhai,117265,1,,Rajasthan,80064
IND,Barmer Jalore,1951,,,#95b3d7,369470,Bhawani Singh,128092,1,,Rajasthan,81546
IND,Bharatpur Sawaimadhopur,1951,,,#95b3d7,748347,Girraj Sharan Singh,687306,1,,Rajasthan,196391
RRP,Bhilwara,1951,,,#999,419186,Hari Ram,108838,1,,Rajasthan,51562
IND,Bikaner Churu,1951,,,#95b3d7,397481,Maharaja Karni Singh,187557,1,,Rajasthan,117926
BJS,Chittoor,1951,,,#999,405205,Umashanker,112548,1,,Rajasthan,52460
