pc,votes,year,state,party,name,sex,age,category,electors,rank,color,polled_votes
HYDERABAD,740,2014,Andhra Pradesh,Independent,SYED ABDUL GAFFER,,,,,13,#95b3d7,971421
HYDERABAD,728,2014,Andhra Pradesh,Independent,MD OSMAN,,,,,14,#95b3d7,971421
HYDERABAD,626,2014,Andhra Pradesh,Independent,SHAIK MOIN,,,,,15,#95b3d7,971421
HYDERABAD,598,2014,Andhra Pradesh,Socialist Party (India),JAYA VINDHYALA,,,,,16,#999,971421
HYDERABAD,485,2014,Andhra Pradesh,Nava Bharat National Party,N.MAHENDER SINGH,,,,,17,#999,971421
CHELVELLA,435077,2014,Andhra Pradesh,Telangana Rashtra Samithi,KONDA VISHWESHWAR REDDY,,,,,1,#999,1315862
CHELVELLA,362054,2014,Andhra Pradesh,Indian National Congress,PATLOLLA KARTIK REDDY,,,,,2,#019733,1315862
CHELVELLA,353203,2014,Andhra Pradesh,Telugu Desam,TULLA VEERENDER,,,,,3,#4bacc6,1315862
CHELVELLA,56835,2014,Andhra Pradesh,Akhil Bharatiya Muslim League (Secular),CHAN PASHA,,,,,4,#999,1315862
CHELVELLA,40135,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,KONDA RAGHAVA REDDY,,,,,5,#999,1315862
CHELVELLA,24660,2014,Andhra Pradesh,Independent,G.MALLESHAM GOUD,,,,,6,#95b3d7,1315862
CHELVELLA,10018,2014,Andhra Pradesh,None of the Above,None of the Above,,,,,7,#999,1315862
CHELVELLA,7732,2014,Andhra Pradesh,Bahujan Samaj Party,SAMALA RAVINDAR,,,,,8,#77968E,1315862
CHELVELLA,7462,2014,Andhra Pradesh,Aam Aadmi Party,REGATTE VENKAT REDDY,,,,,9,#999,1315862
CHELVELLA,5789,2014,Andhra Pradesh,Pyramid Party of India,KUMMARI GIRI,,,,,10,#999,1315862
CHELVELLA,2904,2014,Andhra Pradesh,Marxist Communist Party of India (United),MD YUNUS MIYA,,,,,11,#999,1315862
CHELVELLA,2545,2014,Andhra Pradesh,Indian Christian Secular Party,DR. P. SADHU SATYANADHAN,,,,,12,#999,1315862
CHELVELLA,2214,2014,Andhra Pradesh,Andhra Pradesh Rashtra Samaikya Samithi Party,SUTHARAPU PADMAIAH,,,,,13,#999,1315862
CHELVELLA,2058,2014,Andhra Pradesh,Independent,SANIKE RAM GOPAL YADAV,,,,,14,#95b3d7,1315862
CHELVELLA,1765,2014,Andhra Pradesh,Telangana Loksatta Party,DR.GOLLA RAMAIAH,,,,,15,#999,1315862
CHELVELLA,1411,2014,Andhra Pradesh,Indian Union Muslim League,SYED HASHMATHULLAH QUADRI,,,,,16,#999,1315862
MAHBUBNAGAR,334228,2014,Andhra Pradesh,Telangana Rashtra Samithi,AP JITHENDER REDDY,,,,,1,#999,1014800
MAHBUBNAGAR,331638,2014,Andhra Pradesh,Indian National Congress,JAIPAL REDDY SUDINI,,,,,2,#019733,1014800
MAHBUBNAGAR,272791,2014,Andhra Pradesh,Bharatiya Janata Party,DR. JANARDHAN REDDY NAGAM,,,,,3,#FB7B0D,1014800
MAHBUBNAGAR,30388,2014,Andhra Pradesh,Pyramid Party of India,S.R.PREMAIAH,,,,,4,#999,1014800
MAHBUBNAGAR,15779,2014,Andhra Pradesh,Bahujan Samaj Party,KADIRE KRISHNA,,,,,5,#77968E,1014800
MAHBUBNAGAR,9105,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,H.A. RAHMAN,,,,,6,#999,1014800
MAHBUBNAGAR,9037,2014,Andhra Pradesh,None of the Above,None of the Above,,,,,7,#999,1014800
MAHBUBNAGAR,4549,2014,Andhra Pradesh,Independent,IBRAHIM SYED,,,,,8,#95b3d7,1014800
MAHBUBNAGAR,4033,2014,Andhra Pradesh,Independent,DR. CHANDRA SEKHAR. A,,,,,9,#95b3d7,1014800
MAHBUBNAGAR,3252,2014,Andhra Pradesh,Independent,S. SHIVA SHANKAR,,,,,10,#95b3d7,1014800
NAGARKURNOOL,420075,2014,Andhra Pradesh,Indian National Congress,YELLAIAH NANDI,,,,,1,#019733,1108968
NAGARKURNOOL,403399,2014,Andhra Pradesh,Telangana Rashtra Samithi,DR. MANDA JAGANNATH,,,,,2,#999,1108968
NAGARKURNOOL,183352,2014,Andhra Pradesh,Telugu Desam,BAKKANI NARSIMLU,,,,,3,#4bacc6,1108968
NAGARKURNOOL,54680,2014,Andhra Pradesh,Independent,BUDDULA SRINIVAS,,,,,4,#95b3d7,1108968
NAGARKURNOOL,22985,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,MAREDU GOPAL,,,,,5,#999,1108968
NAGARKURNOOL,12388,2014,Andhra Pradesh,None of the Above,None of the Above,,,,,6,#999,1108968
NAGARKURNOOL,12089,2014,Andhra Pradesh,Bahujan Samaj Party,BAHADHUR SRINIVAS,,,,,7,#77968E,1108968
NALGONDA,472093,2014,Andhra Pradesh,Indian National Congress,GUTHA SUKHENDER REDDY,,,,,1,#019733,1189399
NALGONDA,278937,2014,Andhra Pradesh,Telugu Desam,TERA CHINNAPA REDDY,,,,,2,#4bacc6,1189399
NALGONDA,260677,2014,Andhra Pradesh,Telangana Rashtra Samithi,DR. PALLA RAJESHWAR REDDY,,,,,3,#999,1189399
NALGONDA,56259,2014,Andhra Pradesh,Independent,MARRI NEHEMIAH,,,,,4,#95b3d7,1189399
NALGONDA,54423,2014,Andhra Pradesh,Communist Party of India  (Marxist),NANDYALA NARSIMHA REDDY,,,,,5,#DE0000,1189399
NALGONDA,39385,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,GUNNAM NAGI REDDY,,,,,6,#999,1189399
NALGONDA,11517,2014,Andhra Pradesh,Bahujan Samaj Party,KUNDARAPU RAMESH,,,,,7,#77968E,1189399
NALGONDA,9305,2014,Andhra Pradesh,None of the Above,None of the Above,,,,,8,#999,1189399
NALGONDA,4495,2014,Andhra Pradesh,Pyramid Party of India,MANUPURI DAYA SAGAR,,,,,9,#999,1189399
NALGONDA,2308,2014,Andhra Pradesh,Aam Aadmi Party,TEJAVATH BELLAIAH NAIK,,,,,10,#999,1189399
BHONGIR,448245,2014,Andhra Pradesh,Telangana Rashtra Samithi,DR. BOORA NARSAIAH GOUD,,,,,1,#999,1211943
BHONGIR,417751,2014,Andhra Pradesh,Indian National Congress,KOMATIREDDY RAJGOPAL REDDY,,,,,2,#019733,1211943
BHONGIR,183217,2014,Andhra Pradesh,Bharatiya Janata Party,INDRASENA REDDY NALLU,,,,,3,#FB7B0D,1211943
BHONGIR,54040,2014,Andhra Pradesh,Communist Party of India  (Marxist),CHERUPALLY SEETHARAMULU,,,,,4,#DE0000,1211943
BHONGIR,35011,2014,Andhra Pradesh,Independent,VARIKUPPALA KRISHNA VADDERA,,,,,5,#95b3d7,1211943
BHONGIR,26805,2014,Andhra Pradesh,Independent,NAVULLA MALLA REDDY,,,,,6,#95b3d7,1211943
BHONGIR,10921,2014,Andhra Pradesh,None of the Above,None of the Above,,,,,7,#999,1211943
BHONGIR,9029,2014,Andhra Pradesh,Bahujan Samaj Party,ARVAPALLY AMBATI,,,,,8,#77968E,1211943
BHONGIR,7722,2014,Andhra Pradesh,Independent,RAVULAPALLY KONDAL RAO,,,,,9,#95b3d7,1211943
