pc,year,state,party,name,sex,age,category,votes,electors,rank,color,polled_votes
VIJAYAWADA,1951,MADRAS,IND,HARINDRANATH CHATOPADHYYA,,,,124320,367722,1,#95b3d7,264680
VISAKHAPATNAM,1951,MADRAS,IND,LANKA SUNDARAM,,,,140718,707707,1,#95b3d7,339476
VIZIANAGARAM,1951,MADRAS,SP,KANDALA SUBRAMANIAM,,,,112096,374684,1,#B15928,181852
INNER MANIPUR,1951,MANIPUR,INC,JOGESWOR SINGH,,,,22902,149617,1,#019733,74906
OUTER MANIPUR,1951,MANIPUR,SP,RISHANG,,,,23625,148935,1,#B15928,77561
BANGALORE NORTH,1951,MYSORE,INC,N. KESHAVAIENGAR,,,,83513,389996,1,#019733,177057
BANGALORE SOUTH,1951,MYSORE,INC,T. MADIAH GOWDA,,,,80951,345824,1,#019733,155948
CHITALDRUG,1951,MYSORE,INC,S. NIJALINGAPPA,,,,126584,361943,1,#019733,218227
HASSAN CHICKMAGALUR,1951,MYSORE,INC,H. SIDDANANJAPPA,,,,116561,354206,1,#019733,171850
KOLAR,1951,MYSORE,INC,DODDATHIMMIAH,,,,203988,741116,1,#019733,717848
MANDYA,1951,MYSORE,INC,M. K. SIVANANJAPPA,,,,125566,360464,1,#019733,212015
MYSORE,1951,MYSORE,INC,N. RACHIAH,,,,209203,728247,1,#019733,712318
SHIMOGA,1951,MYSORE,INC,K. G. WODEYAR,,,,108990,313647,1,#019733,235659
TUMKUR,1951,MYSORE,INC,C. R. BASAPPA,,,,116596,374292,1,#019733,223505
DELHI SADAR,1951,NCT OF DELHI,INC,RADHA RAMAN,,,,60505,174522,1,#019733,101590
NEW DELHI,1951,NCT OF DELHI,KMPP,SUCHETIA KRIPALANI,,,,47735,182293,1,#999,102175
OUTER DELHI,1951,NCT OF DELHI,INC,C. KRISNAN NAIR,,,,118562,387853,1,#019733,452135
BALASORE,1951,ORISSA,INC,KANHU CHARAN JENA,,,,205151,751245,1,#019733,607958
BARGARH,1951,ORISSA,IND,GHANSHYAM DAS THIRANI,,,,27461,368978,1,#95b3d7,98141
CUTTACK,1951,ORISSA,INC,HAREKRISHNA MAHTAB,,,,89387,399482,1,#019733,164145
DHENKANAL WEST CUTTACK,1951,ORISSA,INC,NIRANJAN JENA,,,,133666,754809,1,#019733,495558
GANJAM SOUTH,1951,ORISSA,CPI,BIJOY CHANDRA DAS,,,,61002,390236,1,#DE0000,109695
GHUMSUR,1951,ORISSA,IND,UMACHARAN PATNAIK,,,,81880,386460,1,#95b3d7,145186
JAJPUR KEONJHAR,1951,ORISSA,INC,BHUBANANDA DAS,,,,104114,729056,1,#019733,457314
KALAHANDI BOLANGIR,1951,ORISSA,GP,GIRIDHARI BHOI,,,,198378,790404,1,#999,553858
KENDRAPARA,1951,ORISSA,INC,NITYANANDA KANUNGO,,,,84540,400630,1,#019733,173806
KHURDA,1951,ORISSA,INC,LINGRAJ MISRA,,,,66765,395605,1,#019733,138531
MAYURBHANJ,1951,ORISSA,INC,RAMCHANDRA MAJHI,,,,48830,376957,1,#019733,108238
