#,AC_NAME,AC_NO,Deposit Threshold,EVM Votes,Migrant Votes,Migrant Votes ,NAME,O.S.N.,party_code,Polled_Votes,Postal Votes,Rank,ST_CD,ST_NAME,State-code,VOTES,Vote %,YEAR,color_code,PARTY,polled_votes,vote_percent
8,Narsapuram,9,0,3459,0,0,G S RAJU,8,Samajwadi Party,1174441,3,8,S01,Andhra Pradesh,S01,3462,0.294778537,2019,#0E6D37,SP,1174441,0.29
13,Narsapuram,9,0,1600,0,0,DASARI KRISHNA MURTHY,9,India Praja Bandhu Party,1174441,0,13,S01,Andhra Pradesh,S01,1600,0.136235026,2019,#363636,IPBP,1174441,0.14
12,Narsapuram,9,0,2194,0,0,NALLAM SURYA CHANDRA RAO,10,Pyramid Party of India,1174441,9,12,S01,Andhra Pradesh,S01,2203,0.187578601,2019,#363636,PPI,1174441,0.19
3,Narsapuram,9,1,248675,0,0,NAGABABU KONIDELA,11,Janasena Party,1174441,1614,3,S01,Andhra Pradesh,S01,250289,21.31133024,2019,#D22215,JP,1174441,21.31
9,Narsapuram,9,0,3018,0,0,K.A.PAUL,12,Praja Shanthi Party,1174441,19,9,S01,Andhra Pradesh,S01,3037,0.258591108,2019,#363636,PRSP,1174441,0.26
14,Narsapuram,9,0,1273,0,0,GOTTUMUKKALA SHIVAJI,13,Independent,1174441,0,14,S01,Andhra Pradesh,S01,1273,0.108391992,2019,#CEB58C,IND,1174441,0.11
11,Narsapuram,9,0,2646,0,0,NALLI RAJESH,14,Independent,1174441,2,11,S01,Andhra Pradesh,S01,2648,0.225468968,2019,#CEB58C,IND,1174441,0.23
10,Narsapuram,9,0,2674,0,0,MEDAPATI VARAHALA REDDY,15,Independent,1174441,3,10,S01,Andhra Pradesh,S01,2677,0.227938228,2019,#CEB58C,IND,1174441,0.23
6,Narsapuram,9,0,12031,0,0,NOTA,16,None of the Above,1174441,35,6,S01,Andhra Pradesh,S01,12066,1.027382389,2019,#DDD1CA,NOTA,1174441,1.03
1,Eluru,10,1,672834,0,0,KOTAGIRI SRIDHAR,1,Yuvajana Sramika Rythu Congress Party,1327923,3975,1,S01,Andhra Pradesh,S01,676809,50.96748833,2019,#08406F,YSRCP,1327923,50.97
6,Eluru,10,0,8317,0,0,CHINNAM RAMA KOTAYYA,2,Bharatiya Janata Party,1327923,95,6,S01,Andhra Pradesh,S01,8412,0.633470465,2019,#ff7f0e,BJP,1327923,0.63
