PARTY,YEAR,AC_NAME,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,VOTES,polled_votes,color
CPI,1969,Poudousaram,Pondicherry,20,1,GEN,N. GURUSAMY,M,,,3439,6447,#ff5757
INC,1969,Poudousaram,Pondicherry,20,2,GEN,M. KRISHNASAMY,M,,,2866,6447,#2ecc71
IND,1969,Poudousaram,Pondicherry,20,3,GEN,A.D. DINADAYALAN,M,,,142,6447,#bdc3c7
INC,1969,Cotchery,Pondicherry,21,1,SC,M. BALAYA,M,,,3097,6533,#2ecc71
DMK,1969,Cotchery,Pondicherry,21,2,SC,T. JAYARAMAN,M,,,2546,6533,#c0392b
IND,1969,Cotchery,Pondicherry,21,3,SC,G. NAGARAJAN,M,,,784,6533,#bdc3c7
IND,1969,Cotchery,Pondicherry,21,4,SC,S. APPADURAI,M,,,106,6533,#bdc3c7
INC,1969,Karikal North,Pondicherry,22,1,GEN,M. JAMBULINGAM,M,,,4208,8081,#2ecc71
IND,1969,Karikal North,Pondicherry,22,2,GEN,A.M. HAMEED MARICAR,M,,,3873,8081,#bdc3c7
DMK,1969,Karikal South,Pondicherry,23,1,GEN,MARIE LOURDES SILVARADJOU,M,,,2439,4791,#c0392b
INC,1969,Karikal South,Pondicherry,23,2,GEN,N.M. MOHAMED YUSSOUF,M,,,2041,4791,#2ecc71
IND,1969,Karikal South,Pondicherry,23,3,GEN,P.M. AMBIGASUNDARAMOORTHY,M,,,311,4791,#bdc3c7
DMK,1969,Neravy,Pondicherry,24,1,GEN,S. RAMASAMY,M,,,3447,6398,#c0392b
INC,1969,Neravy,Pondicherry,24,2,GEN,M. KALIAPPA NAICKER,M,,,2951,6398,#2ecc71
DMK,1969,Grandi Aldee,Pondicherry,25,1,GEN,Y. PANDARINATHAN,M,,,3852,5439,#c0392b
IND,1969,Grandi Aldee,Pondicherry,25,2,GEN,G. MUTHUKRISHNAN,M,,,1026,5439,#bdc3c7
INC,1969,Grandi Aldee,Pondicherry,25,3,GEN,V. GANABADHIAPILLAI,M,,,561,5439,#2ecc71
DMK,1969,Tirnoular,Pondicherry,26,1,GEN,R. SUPPRAYALU NAICKER,M,,,3455,6384,#c0392b
INC,1969,Tirnoular,Pondicherry,26,2,GEN,V. ARUNASALAM,M,,,2814,6384,#2ecc71
IND,1969,Tirnoular,Pondicherry,26,3,GEN,S. KATHAPERUMAL,M,,,115,6384,#bdc3c7
INC,1969,Nedouncadou,Pondicherry,27,1,GEN,P. SHANMUGAM,M,,,3103,6186,#2ecc71
DMK,1969,Nedouncadou,Pondicherry,27,2,GEN,A. SAVUNDARARANGAN,M,,,3083,6186,#c0392b
IND,1969,Mahe,Pondicherry,28,1,GEN,I.K. KUMARAN,M,,,2885,4863,#bdc3c7
INC,1969,Mahe,Pondicherry,28,2,GEN,VALAVIL KESAVAN,M,,,1978,4863,#2ecc71
INC,1969,Pallour,Pondicherry,29,1,GEN,V.N. PURUSHOTHAMAN,M,,,2609,3857,#2ecc71
IND,1969,Pallour,Pondicherry,29,2,GEN,PONDEATTE ANANDIN,M,,,1248,3857,#bdc3c7
IND,1969,Yanaon,Pondicherry,30,1,GEN,K.S. P.V. RAO NAIDU,M,,,2287,4116,#bdc3c7
INC,1969,Yanaon,Pondicherry,30,2,GEN,YARRA ZAGANNADHARAO,M,,,1829,4116,#2ecc71
ADMK,1974,Muthialpet,Pondicherry,1,1,GEN,"PAJANIRAJA, G.",M,,,4315,9835,#b2d33c
NCO,1974,Muthialpet,Pondicherry,1,2,GEN,"THANGAPRAGASAM, M.",M,,,3842,9835,#1F77B4
DMK,1974,Muthialpet,Pondicherry,1,3,GEN,"MURUGAIYAN, K.",M,,,1678,9835,#c0392b
NCO,1974,Cassicade,Pondicherry,2,1,GEN,"ANSARI DURAISWAMY, P.",M,,,2996,7699,#1F77B4
ADMK,1974,Cassicade,Pondicherry,2,2,GEN,DURAI MUNISAMI,M,,,2591,7699,#b2d33c
DMK,1974,Cassicade,Pondicherry,2,3,GEN,ANANDAVELU,M,,,1936,7699,#c0392b
IND,1974,Cassicade,Pondicherry,2,4,GEN,"SIVAPRAKAM, N.",M,,,78,7699,#bdc3c7
IND,1974,Cassicade,Pondicherry,2,5,GEN,"VARADARAJULU ALIAS VARADHAN, P.",M,,,51,7699,#bdc3c7
IND,1974,Cassicade,Pondicherry,2,6,GEN,"SUBRAMANIAN, N. ALIAS RAMU",M,,,47,7699,#bdc3c7
INC,1974,Raj Bhavan,Pondicherry,3,1,GEN,DHANA KANTHARAJ,M,,,2399,4284,#2ecc71
