year,constituency,ST_NAME,AC_NO,rank,AC_TYPE,name,SEX,AGE,CATEGORY,votes,party,color,polled_votes
1991,Thirubuvanai,Pondicherry,14,1,SC,D. VISWANATHAN,M,,,7453,ADMK,#9DBC2A,13384
1991,Mannadipeth,Pondicherry,15,1,GEN,N. RAJARAM,M,,,7771,INC,#019733,14851
1991,Ossudu,Pondicherry,16,1,SC,N. MARIMUTHU,M,,,7293,INC,#019733,11576
1991,Villenour,Pondicherry,17,1,GEN,P. ANANDABASKARAN,M,,,8190,INC,#019733,15141
1991,Ozhukarai,Pondicherry,18,1,GEN,K. NATARAJAN,M,,,8566,ADMK,#9DBC2A,15077
1991,Thattanchavady,Pondicherry,19,1,GEN,N. RANGASAMY,M,,,12545,INC,#019733,17996
1991,Reddiarpalayam,Pondicherry,20,1,GEN,R. VISWANATHAN,M,,,13134,CPI,#DE0000,20522
1991,Lawspet,Pondicherry,21,1,GEN,P. KANANN,M,,,13475,INC,#019733,21906
1991,Cotchery,Pondicherry,22,1,GEN,R. NALAMAHARAJAN,M,,,5051,IND,#888888,13649
1991,Karaikal,Pondicherry,23,1,GEN,A. M. H. NAZEEM,M,,,6809,DMK,#800000,11480
1991,Karaikal South,Pondicherry,24,1,GEN,A. V. SUBRAMANIAN,M,,,6189,INC,#019733,10130
1991,Neravy-Grand Aldee,Pondicherry,25,1,GEN,V. M. C. V. GANAPATHY,M,,,6384,ADMK,#9DBC2A,12854
1991,Tirunallar,Pondicherry,26,1,GEN,A. SOUNDARARENGAN,M,,,4401,DMK,#800000,10639
1991,Neduncadu,Pondicherry,27,1,SC,M. CHANDIRAKASU,M,,,5955,INC,#019733,10779
1991,Mahe,Pondicherry,28,1,GEN,E. VALSARAJ,M,,,5099,INC,#019733,8143
1991,Palloor,Pondicherry,29,1,GEN,A. V. SREEDHARAN,M,,,4922,INC,#019733,8340
1991,Yanam,Pondicherry,30,1,GEN,VELAGA RAJESWARA RAO,M,,,6331,INC,#019733,11132
