constituency,1951,1957,1962,1967,1969,1971,1972,1977,1982,1987,1991,1996,2001,2006,2011
Siliguri,,CPI,INC,INC,IGL,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Sitalkuchi,,,FB,,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Sonamukhi,INC,,,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Sonarpur,,,CPI,CPM,CPM,CPM,CPI,CPM,CPM,CPM,CPM,CPM,AITC,CPM,
Suri,INC,PSP,INC,INC,SUC,SUC,INC,INC,INC,CPM,CPM,INC,CPM,CPM,AITC
Sutahata,KMPP,,INC,BAC,INC,BAC,CPI,JNP,CPM,CPM,CPM,INC,CPM,CPM,
Swarupnagar,,INC,INC,CPI,CPI,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Taldangra,INC,,,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Taltola,INC,CPI,INC,INC,CPM,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Titagarh,INC,INC,INC,INC,CPM,CPM,INC,CPM,INC,INC,CPM,CPM,CPM,CPM,
Tufanganj,,INC,CPI,INC,INC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Udaynarayanpur,,,INC,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Ukhra,,,,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Uluberia North,,,FB,FBL,FBL,CPM,CPM,CPM,CPM,CPM,CPM,INC,CPM,CPM,
Uttarpara,CPI,CPI,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC,CPM,AITC
Vidyasagar,IND,CPI,CPI,CPM,CPM,INC,INC,CPM,CPM,CPM,CPM,INC,CPM,CPM,
Vishnupur,INC,INC,CPI,INC,BAC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Pingla,BJS,,,CPI,CPI,INC,INC,JNP,IND,IND,DSP(PC),CPM,IND,DSP(P),DSP(P)
Darjeeling,IND,IND,GL,IND,IGL,IGL,IGL,IND,CPM,CPM,IND,GNLF,GNLF,GNLF,GOJAM
Kalimpong,CPI,IND,GL,INC,IGL,IGL,INC,IND,IND,CPI,IND,GNLF,GNLF,GNLF,GOJAM
Kurseong,,,,,,,,INC,CPM,CPM,IND,GNLF,GNLF,GNLF,GOJAM
Araidanga,,,,,,,,CPM,CPM,CPM,INC,INC,INC,INC,
Bow Bazar,INC,INC,INC,INC,INC,INC,INC,CPM,INC,INC,INC,INC,AITC,INC,
Englishbazar,,INC,INC,INC,CPI,CPI,CPI,CPM,CPM,CPM,CPM,INC,CPM,INC,INC
