AC_NAME,AC_NO,AC_TYPE,AGE,CATEGORY,NAME,PARTY,SEX,ST_NAME,VOTES,YEAR,polled_votes,rank
Pattambi,84,GEN,,,ABDUL MAJEED PUDIAVEETTIL P. K.,IND,M,Kerala,5482,1957,32722,3
Mankada,85,GEN,,,MOHAMMAD KODUR VALIA PEEDIKAKKAL,IND,M,Kerala,11854,1957,27910,1
Mankada,85,GEN,,,MOHAMMAD MALAVATTATH,INC,M,Kerala,8338,1957,27910,2
Mankada,85,GEN,,,RAGHAVA PISHARODI,CPI,M,Kerala,6849,1957,27910,3
Mankada,85,GEN,,,MATHAI M. C.,IND,M,Kerala,869,1957,27910,4
Tirur,86,GEN,,,MOIDEENKUTTY HAJEE K.,IND,M,Kerala,15404,1957,37485,1
Tirur,86,GEN,,,ALIKUTTY P. P.,INC,M,Kerala,13231,1957,37485,2
Tirur,86,GEN,,,GOPALAN P.,CPI,M,Kerala,8850,1957,37485,3
Tanur,87,GEN,,,MUHAMMED KOYA C. H.,IND,M,Kerala,16787,1957,28307,1
Tanur,87,GEN,,,ASSANAR KUTTY T.,INC,M,Kerala,11520,1957,28307,2
Kuttipuram,88,GEN,,,AHAMEDKUTTY C.,IND,M,Kerala,15495,1957,31949,1
Kuttipuram,88,GEN,,,MOIDEENKUTTY P. K.,INC,M,Kerala,10424,1957,31949,2
Kuttipuram,88,GEN,,,RAGHAVANUNNI NAIR T.,IND,M,Kerala,6030,1957,31949,3
Thirurangady,89,GEN,,,AYUKKADARKUTTY NAHAK,IND,M,Kerala,17622,1957,42597,1
Thirurangady,89,GEN,,,KUNHALIKUTTY HAJI A.,INC,M,Kerala,16670,1957,42597,2
Thirurangady,89,GEN,,,MUHAMAD NAHA K.,IND,M,Kerala,8305,1957,42597,3
Malappuram,90,GEN,,,HASSAN GANI K.,IND,M,Kerala,17214,1957,34023,1
Malappuram,90,GEN,,,SAIDALAVI P.,INC,M,Kerala,12243,1957,34023,2
Malappuram,90,GEN,,,KUNHANUJAN RAJA K. C.,CPI,M,Kerala,4566,1957,34023,3
Manjeri,91,SC,,,UMMER KOYA P. P.,INC,M,Kerala,30860,1957,140705,1
Manjeri,91,SC,,,CHADAYAN M. (SC),IND,M,Kerala,29101,1957,140705,2
Manjeri,91,SC,,,MARAKKA R.N.,IND,M,Kerala,27258,1957,140705,3
Manjeri,91,SC,,,CHERIYAKARIKUTTY (SC),INC,M,Kerala,24434,1957,140705,4
Manjeri,91,SC,,,USMAN,IND,M,Kerala,15539,1957,140705,5
Manjeri,91,SC,,,ACHUTHANANDAN (SC),CPI,M,Kerala,13513,1957,140705,6
Kondotty,92,GEN,,,AHAMMAD KURIKKAL M. P. M.,IND,M,Kerala,18981,1957,34948,1
Kondotty,92,GEN,,,ABUBAKAR KOLAKADAN,INC,M,Kerala,11866,1957,34948,2
Kondotty,92,GEN,,,MUHAMMAD KUNHI P. K.,CPI,M,Kerala,4101,1957,34948,3
Kozhikode I,93,GEN,,,SARADA KRISHNAN,INC,F,Kerala,17388,1957,43624,1
Kozhikode I,93,GEN,,,MANJUNATHA RAO H.,CPI,M,Kerala,16079,1957,43624,2
Kozhikode I,93,GEN,,,SANKARANKUTTY P. K.,PSP,M,Kerala,10157,1957,43624,3
Kozhikode I I,94,GEN,,,KUMARAN P.,INC,M,Kerala,18586,1957,40564,1
Kozhikode I I,94,GEN,,,E. JANARDHANAN,IND,M,Kerala,11211,1957,40564,2
Kozhikode I I,94,GEN,,,BALAKRISHNAN P. K.,CPI,M,Kerala,10767,1957,40564,3
Chevayur,95,GEN,,,BALAGOPALAN A.,INC,M,Kerala,20683,1957,44308,1
Chevayur,95,GEN,,,RAGHAVAN NAIR,CPI,M,Kerala,17319,1957,44308,2
Chevayur,95,GEN,,,BHASKARAN A.,PSP,M,Kerala,6306,1957,44308,3
Kunnamangalam,96,GEN,,,LEELA DAMODARA MENON,INC,F,Kerala,13598,1957,35894,1
Kunnamangalam,96,GEN,,,CHATHUNNI OTTAYIL K.,CPI,M,Kerala,11814,1957,35894,2
Kunnamangalam,96,GEN,,,CHANDRAN KOTANGAL,IND,M,Kerala,8580,1957,35894,3
Kunnamangalam,96,GEN,,,FRANCIS C. J.,IND,M,Kerala,1902,1957,35894,4
Koduvally,97,GEN,,,GOPALANKUTTY NAIR M.,INC,M,Kerala,19377,1957,35327,1
Koduvally,97,GEN,,,MUHAMMEDKUTTY C.,IND,M,Kerala,15950,1957,35327,2
Balusserry,98,GEN,,,NARAYANA KURUP M.,PSP,M,Kerala,15789,1957,38839,1
Balusserry,98,GEN,,,RAGHAVAN NAIR E.,INC,M,Kerala,11536,1957,38839,2
Balusserry,98,GEN,,,ALI KOYA K.,IND,M,Kerala,11514,1957,38839,3
Quilandy,99,GEN,,,KUNHIRAMAN NAMBIAR,PSP,M,Kerala,19668,1957,46225,1
Quilandy,99,GEN,,,ACHUTHAN NAIR P.,INC,M,Kerala,16622,1957,46225,2
Quilandy,99,GEN,,,PADMANABHAN,IND,M,Kerala,9935,1957,46225,3
Perambra,100,GEN,,,KUMARAN MADATHIL,CPI,M,Kerala,17838,1957,49051,1
Perambra,100,GEN,,,MADHAVAN NAIR T K.,INC,M,Kerala,15827,1957,49051,2
Perambra,100,GEN,,,MOIDU HAJI,IND,M,Kerala,15386,1957,49051,3
Badagara,101,GEN,,,KELU MANDOTI KUNIYIL,CPI,M,Kerala,17123,1957,43194,1
Badagara,101,GEN,,,KRISHNAN,PSP,M,Kerala,15448,1957,43194,2
Badagara,101,GEN,,,KRISHNAN T.,INC,M,Kerala,10623,1957,43194,3
Nadapuram,102,GEN,,,KANARAN C. H.,CPI,M,Kerala,18533,1957,47336,1
Nadapuram,102,GEN,,,KUNHAMMAD HAJI V. K.,INC,M,Kerala,15177,1957,47336,2
Nadapuram,102,GEN,,,MOHAMMED KUNHI O. K.,IND,M,Kerala,13626,1957,47336,3
Wynad,103,SC,,,KUNJIKRISHNAN NAIR N. K.,INC,M,Kerala,31993,1957,130589,1
Wynad,103,SC,,,MADURA (ST),INC,M,Kerala,29296,1957,130589,2
Wynad,103,SC,,,KUNHAMAD HAJEE NEELIKANDY,PSP,M,Kerala,21292,1957,130589,3
Wynad,103,SC,,,PUNNADAN (ST),IND,M,Kerala,16800,1957,130589,4
Wynad,103,SC,,,GOPALAN A. (ST),IND,M,Kerala,16648,1957,130589,5
Wynad,103,SC,,,SANKAR P.,CPI,M,Kerala,14560,1957,130589,6
Kuthuparamba,104,GEN,,,RAMUNNY KURUP,PSP,M,Kerala,21540,1957,51058,1
Kuthuparamba,104,GEN,,,MADHAVAN P. K.,CPI,M,Kerala,14858,1957,51058,2
Kuthuparamba,104,GEN,,,MOIDU M.,INC,M,Kerala,14660,1957,51058,3
Mattanur,105,GEN,,,BALARAM N. E.,CPI,M,Kerala,23540,1957,46092,1
Mattanur,105,GEN,,,KUNHIRAMAN NAIR,INC,M,Kerala,13089,1957,46092,2
Mattanur,105,GEN,,,JAMES VARKEY,PSP,M,Kerala,9463,1957,46092,3
Tellicherry,106,GEN,,,KRISHNA IYER V. R.,IND,M,Kerala,27318,1957,42552,1
Tellicherry,106,GEN,,,KUNHIRAMAN P.,INC,M,Kerala,15234,1957,42552,2
Cannanore I,107,GEN,,,KANNAN CHALIYOTH,CPI,M,Kerala,17464,1957,43959,1
