constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011,2016,2021,2026
Sivakasi,Others,DMK,JNP,ADMK,ADMK,DMK,ADMK,TMC,TMC,MDMK,ADMK,ADMK,INC,TVK
Sriperumbudur,DMK,DMK,ADMK,INC,INC,DMK,INC,DMK,INC,INC,ADMK,ADMK,INC,TVK
Srirangam,INC,NCO,ADMK,ADMK,ADMK,JNP,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,DMK,TVK
Srivaikuntam,DMK,DMK,ADMK,ADMK,INC,INC,INC,DMK,ADMK,INC,ADMK,ADMK,INC,TVK
Srivilliputhur,DMK,DMK,ADMK,ADMK,ADMK,DMK,IND,ADMK,ADMK,CPI,CPI,ADMK,ADMK,TVK
St Thomas Mount,DMK,DMK,,,,,,,,,,,,
Sulur,,,,,,,,,,,DMDK,ADMK,ADMK,TVK
Talavasal,DMK,DMK,ADMK,INC,INC,DMK,INC,TMC,ADMK,DMK,,,,
Tambaram,,,ADMK,DMK,ADMK,DMK,INC,DMK,DMK,DMK,ADMK,DMK,DMK,TVK
Taramangalam,DMK,DMK,INC,IND,ADMK,Others,INC,PMK,PMK,PMK,,,,
Tenkasi,INC,DMK,INC,ADMK,INC,INC,INC,TMC,ADMK,DMK,ADMK,ADMK,INC,DMK
Thalli,,,INC,INC,INC,JNP,INC,CPI,BJP,IND,CPI,DMK,CPI,CPI
Thandarambattu,INC,DMK,DMK,DMK,ADMK,DMK,ADMK,TMC,DMK,DMK,,,,
Thanjavur,INC,DMK,DMK,DMK,INC,DMK,ADMK,DMK,DMK,DMK,ADMK,ADMK,DMK,TVK
Theni,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,TMC,ADMK,ADMK,,,,
Thirumaiyam,DMK,DMK,INC,INC,INC,DMK,ADMK,TMC,ADMK,INC,ADMK,DMK,DMK,DMK
