state,pc,party,name,age,category,color,electors,polled_votes,rank,sex,votes,year,poll_date,education,gender,assets,criminal_cases
Rajasthan,Jhalawar-Baran,Bharatiya Janata Party,dushyantsingh,43,GEN,#FB7B0D,,1146364,1,,676102,2014,17-04-2014,Post Graduate,Male,239006838,0
Tamil Nadu,Thiruvallur,All India Anna Dravida Munnetra Kazhagam,venugopalpdr,,,#9DBC2A,,1254440,1,,628499,2014,,,,,
Tamil Nadu,Sriperumbudur,All India Anna Dravida Munnetra Kazhagam,ramachandranknthiru,59,GEN,#9DBC2A,,1286647,1,,545820,2014,24-04-2014,Post Graduate,Male,936721057,0
Tamil Nadu,Vellore,All India Anna Dravida Munnetra Kazhagam,senguttuvanb,57,GEN,#9DBC2A,,974770,1,,383719,2014,24-04-2014,Post Graduate,Male,9197355,0
Tamil Nadu,Viluppuram,All India Anna Dravida Munnetra Kazhagam,rajendrans,57,GEN,#9DBC2A,,1067641,1,,482704,2014,24-04-2014,Graduate,Male,6200000,0
Tamil Nadu,Kallakurichi,All India Anna Dravida Munnetra Kazhagam,kamarajk,48,GEN,#9DBC2A,,1107241,1,,533383,2014,24-04-2014,Post Graduate,Male,35459256,0
Tamil Nadu,Nilgiris,All India Anna Dravida Munnetra Kazhagam,gopalakrishnanc,52,GEN,#9DBC2A,,933076,1,,463700,2014,24-04-2014,Post Graduate,Male,10941189,0
Tamil Nadu,Coimbatore,All India Anna Dravida Munnetra Kazhagam,nagarajanp,52,GEN,#9DBC2A,,1176620,1,,431717,2014,24-04-2014,Graduate Professional,Male,34306545,0
Tamil Nadu,Tiruchirappalli,All India Anna Dravida Munnetra Kazhagam,kumarp,42,GEN,#9DBC2A,,988250,1,,458478,2014,24-04-2014,Graduate Professional,Male,18522597,0
Tamil Nadu,Perambalur,All India Anna Dravida Munnetra Kazhagam,marutharajaarp,51,GEN,#9DBC2A,,1030826,1,,462693,2014,24-04-2014,Post Graduate,Male,24570213,0
Tamil Nadu,Cuddalore,All India Anna Dravida Munnetra Kazhagam,arunmozhithevana,45,GEN,#9DBC2A,,984538,1,,481429,2014,24-04-2014,Graduate Professional,Male,15765250,9
Tamil Nadu,Chidambaram,All India Anna Dravida Munnetra Kazhagam,chandrakasim,45,GEN,#9DBC2A,,1088423,1,,429536,2014,24-04-2014,Graduate,Male,7243646,0
Tamil Nadu,Sivaganga,All India Anna Dravida Munnetra Kazhagam,senthilnathanpr,46,GEN,#9DBC2A,,1027036,1,,475993,2014,24-04-2014,Graduate Professional,Male,49050835,0
Tamil Nadu,Theni,All India Anna Dravida Munnetra Kazhagam,parthipanr,50,GEN,#9DBC2A,,1075583,1,,571254,2014,24-04-2014,Graduate,Male,22047681,0
Tamil Nadu,Virudhunagar,All India Anna Dravida Munnetra Kazhagam,radhakrishnant,59,GEN,#9DBC2A,,1010930,1,,406694,2014,24-04-2014,10th,Male,43736485,0
Uttar Pradesh,Gautam Buddha Nagar,Bharatiya Janata Party,drmaheshsharma,,,#FB7B0D,,1199238,1,,599702,2014,,,,,
Uttar Pradesh,Bulandshahr,Bharatiya Janata Party,bholasingh,38,GEN,#FB7B0D,,1009710,1,,604449,2014,10-04-2014,Graduate,Male,12577537,0
Uttar Pradesh,Hathras,Bharatiya Janata Party,rajeshkumardiwaker,43,GEN,#FB7B0D,,1049273,1,,544277,2014,24-04-2014,Graduate Professional,Male,5651457,0
Uttar Pradesh,Mathura,Bharatiya Janata Party,hemamalini,65,GEN,#FB7B0D,,1076868,1,,574633,2014,24-04-2014,Doctorate,Female,1782015620,0
Uttar Pradesh,Etah,Bharatiya Janata Party,rajveersinghrajubhaiya,53,GEN,#FB7B0D,,926281,1,,474978,2014,24-04-2014,Graduate Professional,Male,251921157,0
Uttar Pradesh,Badaun,Samajwadi Party,dharmendrayadav,37,GEN,#B15928,,1027594,1,,498378,2014,17-04-2014,Post Graduate,Male,24987715,0
Uttar Pradesh,Bareilly,Bharatiya Janata Party,santoshkumargangwar,64,GEN,#FB7B0D,,1017891,1,,518258,2014,17-04-2014,Graduate Professional,Male,38602862,0
Uttar Pradesh,Sitapur,Bharatiya Janata Party,rajeshverma,54,GEN,#FB7B0D,,1026972,1,,417546,2014,30-04-2014,Post Graduate,Male,41418622,0
Uttar Pradesh,Akbarpur,Bharatiya Janata Party,devendrasingh@bholesingh,60,GEN,#FB7B0D,,971375,1,,481584,2014,24-04-2014,10th,Male,28546617,0
Uttar Pradesh,Jalaun,Bharatiya Janata Party,bhanupratapsinghverma,55,GEN,#FB7B0D,,1109166,1,,548631,2014,30-04-2014,Post Graduate,Male,5774068,0
Uttar Pradesh,Jhansi,Bharatiya Janata Party,umabharati,55,GEN,#FB7B0D,,1320804,1,,575889,2014,30-04-2014,5th,Female,14376218,13
Uttar Pradesh,Fatehpur,Bharatiya Janata Party,niranjanjyoti,47,GEN,#FB7B0D,,1056688,1,,485994,2014,30-04-2014,12th,Female,4123779,1
Uttar Pradesh,Kaushambi,Bharatiya Janata Party,vinodkumarsonkar,44,GEN,#FB7B0D,,910038,1,,331593,2014,07-05-2014,Graduate,Male,27091681,0
Uttar Pradesh,Phulpur,Bharatiya Janata Party,keshavprasadmaurya,47,GEN,#FB7B0D,,960341,1,,503564,2014,07-05-2014,Graduate,Male,93244143,11
