constituency,pc,condition
Tirunelveli,Tirunelveli,TRUE
Tirupati,Tirupati,TRUE
Tiruppur,Tiruppur,TRUE
Tiruvallur,Thiruvallur,FALSE
Tiruvannamalai,Tiruvannamalai,TRUE
Tonk-Sawai Madhopur,Tonk-Sawai Madhopur,TRUE
Tripura East,Tripura East,TRUE
Tripura West,Tripura West,TRUE
Tumkur,Tumkur,TRUE
Tura,Tura,TRUE
Udaipur,Udaipur,TRUE
Udhampur,Udhampur,TRUE
Udupi Chikmagalur,Udupi Chikmagalur,TRUE
Ujiarpur,Ujiarpur,TRUE
Ujjain,Ujjain,TRUE
Uluberia,Uluberia,TRUE
Unnao,Unnao,TRUE
Uttara Kannada,Uttara Kannada,TRUE
Vadakara,Vadakara,TRUE
Vadodara,Vadodara,TRUE
Vaishali,Vaishali,TRUE
Valmiki Nagar,Valmiki Nagar,TRUE
Valsad,Valsad,TRUE
Varanasi,Varanasi,TRUE
Vellore,Vellore,TRUE
Vidisha,Vidisha,TRUE
Vijayawada,Vijayawada,TRUE
Viluppuram,Viluppuram,TRUE
Virudhunagar,Virudhunagar,TRUE
Visakhapatnam,Visakhapatnam,TRUE
Vizianagaram,Vizianagaram,TRUE
Warangal,Warangal,TRUE
Wardha,Wardha,TRUE
Wayanad,Wayanad,TRUE
West Delhi,West Delhi,TRUE
Yavatmal-Washim,Yavatmal-Washim,TRUE
Zahirabad,Zahirabad,TRUE
