party,state,constituency,poll_date,name,age,gender,education,category,assets,criminal_cases,color,party_name
AAP,Tamil Nadu,Tiruppur,24-04-2014,rchakravarthirajagopalakrishnan,59,Male,Post Graduate,GEN,325925000,0,,Aam Aadmi Party
INC,Madhya Pradesh,Khandwa,24-04-2014,arunsubhashchandrayadav,40,Male,Graduate,GEN,318304270,2,#019733,Indian National Congress
NPF,Nagaland,Nagaland,09-04-2014,neiphiurio,63,Male,Graduate,GEN,315834264,0,,Naga Peoples Front
PATTALI MAKKAL KATCHI,Tamil Nadu,Dharmapuri,24-04-2014,anbumaniramadoss,45,Male,Graduate Professional,GEN,314378451,8,,Pattali Makkal Katchi
BJD,Orissa,Kendrapara,17-04-2014,sribaijayantpanda,50,Male,Graduate Professional,GEN,312432726,0,#000000,Biju Janata Dal
IND,Andhra Pradesh,Mahbubnagar,30-04-2014,ibrahimsyed,44,Male,12th,GEN,310625000,7,,Independent
BJP,Bihar,Sheohar,07-05-2014,ramadevi,65,Female,Post Graduate,GEN,308591850,5,#FB7B0D,Bharatiya Janata Party
INC,Rajasthan,Jodhpur,17-04-2014,chandreshkumari,69,Female,12th,GEN,307822286,0,#019733,Indian National Congress
AAP,Uttar Pradesh,Ghaziabad,10-04-2014,shaziailmimalik,43,Female,Post Graduate,GEN,303342609,1,,Aam Aadmi Party
INC,Andhra Pradesh,Nizamabad,30-04-2014,madhuyaskhigoud,56,Male,Post Graduate,GEN,301357021,0,#019733,Indian National Congress
INC,Bihar,Aurangabad,10-04-2014,nikhilkumar,72,Male,Post Graduate,GEN,297302441,0,#019733,Indian National Congress
BJP,Haryana,Faridabad,10-04-2014,krishanpal,57,Male,Graduate Professional,GEN,296440144,0,#FB7B0D,Bharatiya Janata Party
IND,Uttarakhand,Hardwar,07-05-2014,jaisingh,55,Male,Graduate,GEN,295194000,0,,Independent
SP,Uttar Pradesh,Muzaffarnagar,10-04-2014,virendrasingh,61,Male,Post Graduate,GEN,293622871,2,#B15928,Samajwadi Party
TDP,Andhra Pradesh,Zahirabad,30-04-2014,kmadanmohanrao,44,Male,Post Graduate,GEN,291223038,0,#4bacc6,Telugu Desam
INC,Rajasthan,Jhalawar-Baran,17-04-2014,pramodkumar,49,Male,12th,GEN,290302756,0,#019733,Indian National Congress
INC,Madhya Pradesh,Gwalior,17-04-2014,ashoksingh,51,Male,Graduate,GEN,288174756,0,#019733,Indian National Congress
NCP,Gujarat,Porbandar,30-04-2014,jadejakandhalbhaisarmanbhai,42,Male,8th,GEN,283945804,9,,Nationalist Congress Party
BJP,Tamil Nadu,Pollachi,24-04-2014,eswaraner,52,Male,Graduate Professional,GEN,283641697,0,#FB7B0D,Bharatiya Janata Party
SP,Uttar Pradesh,Kannauj,24-04-2014,dimpleyadav,36,Female,Graduate,GEN,280516418,0,#B15928,Samajwadi Party
INC,Rajasthan,Kota,17-04-2014,ijyarajsingh,49,Male,Post Graduate,GEN,280354736,0,#019733,Indian National Congress
BJP,Karnataka,Tumkur,17-04-2014,gsbasavaraj,73,Male,Graduate Professional,GEN,275785995,0,#FB7B0D,Bharatiya Janata Party
