AC_NO,AC_NAME,NAME,#,ST_CD,ST_NAME,VOTES,YEAR,polled_votes,vote_percent,PARTY,a_constituency,District,p_constituency,Male_voters,Female_voters,Other_voters,Region
12,Belgaum Dakshin ,HANAMANTH MALLAPPA MADIVALAR URPA HULAGERI,9,S10,Karnataka,160,2023,159111,0.1,KRS,Belgaum Dakshin,Belgaum,Belgaum,118846,115988,62,Mumbai Karnataka
12,Belgaum Dakshin ,BHARAT GOTI,8,S10,Karnataka,375,2023,159111,0.24,IND,Belgaum Dakshin,Belgaum,Belgaum,118846,115988,62,Mumbai Karnataka
12,Belgaum Dakshin ,RAMAKANT KONDUSKAR,2,S10,Karnataka,64786,2023,159111,40.72,IND,Belgaum Dakshin,Belgaum,Belgaum,118846,115988,62,Mumbai Karnataka
12,Belgaum Dakshin ,SANTOSH SIDDAPPA KEMP,6,S10,Karnataka,619,2023,159111,0.39,IND,Belgaum Dakshin,Belgaum,Belgaum,118846,115988,62,Mumbai Karnataka
12,Belgaum Dakshin ,NOTA,4,S10,Karnataka,1599,2023,159111,1,NOTA,Belgaum Dakshin,Belgaum,Belgaum,118846,115988,62,Mumbai Karnataka
13,Belgaum Rural ,Nagesh Annappa Manolkar,2,S10,Karnataka,51603,2023,204562,25.23,BJP,Belgaum Rural,Belgaum,Belgaum,122945,117442,2,Mumbai Karnataka
13,Belgaum Rural ,T. Malathi,6,S10,Karnataka,436,2023,204562,0.21,AAP,Belgaum Rural,Belgaum,Belgaum,122945,117442,2,Mumbai Karnataka
13,Belgaum Rural ,Yamanappa Gangappa Talawar,7,S10,Karnataka,369,2023,204562,0.18,BSP,Belgaum Rural,Belgaum,Belgaum,122945,117442,2,Mumbai Karnataka
13,Belgaum Rural ,Laxmi R. Hebbalkar,1,S10,Karnataka,107619,2023,204562,52.61,INC,Belgaum Rural,Belgaum,Belgaum,122945,117442,2,Mumbai Karnataka
13,Belgaum Rural ,Shankaragowda Patil,5,S10,Karnataka,738,2023,204562,0.36,JDS,Belgaum Rural,Belgaum,Belgaum,122945,117442,2,Mumbai Karnataka
13,Belgaum Rural ,Ganesh Prakash Singannavar,11,S10,Karnataka,156,2023,204562,0.08,RPIA,Belgaum Rural,Belgaum,Belgaum,122945,117442,2,Mumbai Karnataka
13,Belgaum Rural ,Shakuntala A Iliger,13,S10,Karnataka,110,2023,204562,0.05,KRS,Belgaum Rural,Belgaum,Belgaum,122945,117442,2,Mumbai Karnataka
13,Belgaum Rural ,Basavaraj Kallappa Kuddemmi,12,S10,Karnataka,154,2023,204562,0.08,IND,Belgaum Rural,Belgaum,Belgaum,122945,117442,2,Mumbai Karnataka
13,Belgaum Rural ,Ravikumar David Panditi,8,S10,Karnataka,265,2023,204562,0.13,IND,Belgaum Rural,Belgaum,Belgaum,122945,117442,2,Mumbai Karnataka
13,Belgaum Rural ,R. M. Chougule,3,S10,Karnataka,41500,2023,204562,20.29,IND,Belgaum Rural,Belgaum,Belgaum,122945,117442,2,Mumbai Karnataka
13,Belgaum Rural ,Rupesh Gurunath Kadu,9,S10,Karnataka,229,2023,204562,0.11,IND,Belgaum Rural,Belgaum,Belgaum,122945,117442,2,Mumbai Karnataka
13,Belgaum Rural ,Sanjeev Pranesh Ganachari,10,S10,Karnataka,218,2023,204562,0.11,IND,Belgaum Rural,Belgaum,Belgaum,122945,117442,2,Mumbai Karnataka
13,Belgaum Rural ,NOTA,4,S10,Karnataka,1165,2023,204562,0.57,NOTA,Belgaum Rural,Belgaum,Belgaum,122945,117442,2,Mumbai Karnataka
