tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***99981,20120101,8,STD VEH HWY PROHIB TIME/DAY,60,2346,NR,75 BREMNER BLVD,,,ON
***68675,20120101,134,PARK IN PUBLIC LANE,30,2347,R/O,375 YONGE ST,,,ON
***86169,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2347,NR,2 CHARLES ST W,,,QC
***86170,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2348,NR,2 CHARLES ST W,,,AB
***43373,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2349,Other,10 MORRISON ST,,,ON
***98587,20120101,25,STAND SIGNED TAXICAB STAND,30,2349,NR,27 COLLEGE ST,,,ON
***91252,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2350,NR,25 HAYDEN ST,,,ON
***57425,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2351,NR,1628 BLOOR ST W,,,ON
***30669,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2352,NR,573 KING ST W,,,ON
***98588,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2353,NR,20 ST JOSEPH ST,,,ON
***23289,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2353,AT,12 SUDBURY ST,,,ON
***30670,20120101,192,STAND SIGNED TRANSIT STOP,60,2354,NR,600 KING ST W,,,ON
***91253,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2355,NR,86 GLOUCESTER ST,,,ON
***98589,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2356,NR,2 IRWIN AVE,,,ON
***30671,20120101,192,STAND SIGNED TRANSIT STOP,60,2358,NR,589 KING ST W,,,ON
***23290,20120102,16,PARK 9M OF INTERSCTING HIGHWAY,40,0,OPP,79 BEACONSFIELD AVE,,,ON
***99982,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1,NR,75 BREMNER BLVD,,,ON
***07380,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1,NR,85 CLINTON ST,,,ON
***99310,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,3,NR,10 KINSDALE BLVD,,,ON
***99983,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,3,NR,75 BREMNER BLVD,,,ON
***07381,20120102,336,PARK-FAIL TO DISPLAY PERMIT,30,3,NR,175 CLINTON ST,,,ON
***23504,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,4,NR,53 NORMAN AVE,,,ON
***62214,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,5,NR,85 GLENDALE AVE,,,ON
***68676,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,5,NR,31 ALEXANDER ST,,,ON
***68677,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,5,NR,31 ALEXANDER ST,,,ON
***86171,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,5,NR,9 IRWIN AVE,,,ON
***98590,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,5,NR,200 ELM ST,,,ON
***98591,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,5,NR,200 ELM ST,,,ON
***98831,20120102,5,PARK HWY PRO TIMES/DAYS,40,5,NR,157 PALMDALE DR,,,ON
***23505,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,5,NR,51 NORMAN AVE,,,ON
***38469,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,6,NR,93 ORCHARD VIEW BLVD,,,ON
***57426,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,6,NR,14 HIGH PARK AVE,,,ON
***62215,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,6,NR,85 GLENDALE AVE,,,ON
***68678,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,6,NR,31 ALEXANDER ST,,,NY
***86172,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,6,NR,9 IRWIN AVE,,,ON
***98592,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,6,NR,200 ELM ST,,,ON
***99311,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,6,NR,5 NEWHOLM RD,,,NY
***07382,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,6,NR,213 CLINTON ST,,,ON
***23506,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,6,NR,47 NORMAN AVE,,,ON
***30672,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,7,NR,75 PORTLAND ST,,,ON
***38470,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,7,OPP,112 ORCHARD VIEW BLVD,,,ON
***48075,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,7,OPP,31 TICHESTER RD,,,QC
***62216,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,7,NR,85 GLENDALE AVE,,,ON
***62217,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,7,NR,85 GLENDALE AVE,,,ON
***68679,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,7,NR,51 ALEXANDER ST,,,ON
***91254,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,7,NR,88 CHARLES ST E,,,ON
***08878,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,7,NR,25 ROXBOROUGH ST W,,,ON
***08879,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,7,NR,30 ROXBOROUGH ST W,,,ON
***23507,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,7,NR,19 NORMAN AVE,,,OH
***57427,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,8,NR,26 HIGH PARK AVE,,,ON
***62218,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,8,NR,85 GLENDALE AVE,,,ON
***85087,20120102,5,PARK HWY PRO TIMES/DAYS,40,8,NR,1 RANSTONE GDNS,,,ON
***86173,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,8,OPP,32 IRWIN AVE,,,ON
***91255,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,8,NR,88 CHARLES ST E,,,QC
***99228,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,8,NR,42 HOLWOOD AVE,,,ON
***99312,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,8,NR,5 NEWHOLM RD,,,ON
***30673,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,9,NR,75 PORTLAND ST,,,ON
***48076,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,9,NR,26 TICHESTER RD,,,ON
***62219,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,9,NR,85 GLENDALE AVE,,,ON
***62220,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,9,NR,85 GLENDALE AVE,,,ON
***84145,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,9,NR,33 HAZELTON AVE,,,ON
***86174,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,9,OPP,32 IRWIN AVE,,,ON
***07383,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,9,NR,292 GRACE ST,,,FL
***08880,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,9,NR,10 ROXBOROUGH ST W,,,ON
***23508,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,9,NR,200 MCROBERTS AVE,,,ON
***38471,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,10,NR,116 ROSELAWN AVE,,,ON
***48077,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,10,NR,22 TICHESTER RD,,,ON
