#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
5,Andro,7,NOTA,NOTA,120,2022,33423,0.36
3,Lamlai,8,Achoibam Deben Singh,INC,7049,2022,28665,24.59
1,Lamlai,8,Khongbantabam Ibomcha,BJP,10105,2022,28665,35.25
4,Lamlai,8,Mongjam Poireihenba Meetei,RPI(AT),957,2022,28665,3.34
2,Lamlai,8,Kshetrimayum Biren Singh,JD(U),9984,2022,28665,34.83
5,Lamlai,8,Sapam Kangleipal Meitei,IND,458,2022,28665,1.6
6,Lamlai,8,NOTA,NOTA,112,2022,28665,0.39
2,Thangmeiband,9,Jotin Waikhom,BJP,9856,2022,24302,40.56
3,Thangmeiband,9,Hijam Nutanchandra Singh,INC,457,2022,24302,1.88
1,Thangmeiband,9,Khumukcham Joykisan Singh,JD(U),13629,2022,24302,56.08
4,Thangmeiband,9,NOTA,NOTA,360,2022,24302,1.48
1,Uripok,10,KHWAIRAKPAM RAGHUMANI SINGH,BJP,8335,2022,23041,36.17
4,Uripok,10,NUNGLEPAM MAHANANDA SINGH,INC,1540,2022,23041,6.68
2,Uripok,10,YUMNAM JOYKUMAR SINGH,NPP,7426,2022,23041,32.23
3,Uripok,10,KHOMBONGMAYUM SURESH SINGH,JD(U),5472,2022,23041,23.75
5,Uripok,10,NOTA,NOTA,268,2022,23041,1.16
3,Sagolband,11,Moirangthem Momo Singh,INC,564,2022,20244,2.79
1,Sagolband,11,Rajkumar Imo Singh,BJP,11054,2022,20244,54.6
2,Sagolband,11,Dr. Khwairakpam Loken Singh,JD(U),8398,2022,20244,41.48
4,Sagolband,11,NOTA,NOTA,228,2022,20244,1.13
6,Keisamthong,12,ARIBAM PRAMODINI DEVI,INC,73,2022,25352,0.29
4,Keisamthong,12,ELANGBAM SAMUEL JOHNSON,BJP,1816,2022,25352,7.16
3,Keisamthong,12,LANGPOKLAKPAM JAYANTA KUMAR SINGH,NPP,5760,2022,25352,22.72
2,Keisamthong,12,Maheshwar Thounaojam,RPI(AT),8687,2022,25352,34.27
1,Keisamthong,12,SAPAM NISHIKANT SINGH,IND,8874,2022,25352,35
5,Keisamthong,12,NOTA,NOTA,142,2022,25352,0.56
4,Singjamei,13,Irengbam Hemochandra Singh,INC,1600,2022,19015,8.41
2,Singjamei,13,Oinam Romen Singh,NPP,6414,2022,19015,33.73
1,Singjamei,13,Yumnam Khemchand Singh,BJP,8709,2022,19015,45.8
3,Singjamei,13,Ngangbam Robert Singh,JD(U),2164,2022,19015,11.38
5,Singjamei,13,NOTA,NOTA,128,2022,19015,0.67
1,Yaiskul,14,Thokchom Satyabrata Singh,BJP,9724,2022,24157,40.25
4,Yaiskul,14,Ningombam Helendro Singh,INC,526,2022,24157,2.18
2,Yaiskul,14,Huidrom Vikramjit Singh,NPP,9092,2022,24157,37.64
3,Yaiskul,14,Thounaojam Brinda,JD(U),4574,2022,24157,18.93
5,Yaiskul,14,Rajkumar Suraj Singh,SHS,122,2022,24157,0.51
6,Yaiskul,14,NOTA,NOTA,119,2022,24157,0.49
2,Wangkhei,15,Okram Henry,BJP,10840,2022,32461,33.39
3,Wangkhei,15,Yumkham Erabot Singh,NPP,9275,2022,32461,28.57
4,Wangkhei,15,Rajkumar Priyobarta Singh,INC,416,2022,32461,1.28
1,Wangkhei,15,Thangjam Arunkumar,JD(U),11593,2022,32461,35.71
5,Wangkhei,15,NOTA,NOTA,337,2022,32461,1.04
2,Sekmai,16,Ayangbam Oken Singh,NPP,6677,2022,27201,24.55
4,Sekmai,16,Ningthoujam Popilal Singh,NCP,2007,2022,27201,7.38
5,Sekmai,16,Ningthoujam Biren Singh,INC,1595,2022,27201,5.86
1,Sekmai,16,Heikham Dingo Singh,BJP,10010,2022,27201,36.8
6,Sekmai,16,Khaidem Ranjit Singh,SHS,471,2022,27201,1.73
3,Sekmai,16,Khwairakpam Devendro Singh,JD(U),5966,2022,27201,21.93
8,Sekmai,16,Khwairakpam Robin Singh,IND,186,2022,27201,0.68
9,Sekmai,16,Maharabam Anita Devi,IND,99,2022,27201,0.36
7,Sekmai,16,NOTA,NOTA,190,2022,27201,0.7
2,Lamsang,17,Pukhrambam Sumati Devi,NPP,14785,2022,31770,46.54
5,Lamsang,17,Likmabam Manibabu Singh,INC,241,2022,31770,0.76
1,Lamsang,17,Sorokhaibam Rajen Singh,BJP,15185,2022,31770,47.8
4,Lamsang,17,Khundrakpam Kanba Meitei,JD(U),616,2022,31770,1.94
3,Lamsang,17,Arambam Karamjit Singh,IND,733,2022,31770,2.31
6,Lamsang,17,NOTA,NOTA,210,2022,31770,0.66
2,Konthoujam,18,Konthoujam Sharat Singh,NPP,13038,2022,28400,45.91
6,Konthoujam,18,Khoirom Binarani Devi,NCP,75,2022,28400,0.26
3,Konthoujam,18,Laishram Nando Singh,INC,895,2022,28400,3.15
1,Konthoujam,18,Dr. Sapam Ranjan Singh,BJP,13432,2022,28400,47.3
4,Konthoujam,18,Nongmaithem Herojit Singh,JD(U),808,2022,28400,2.85
5,Konthoujam,18,NOTA,NOTA,152,2022,28400,0.54
2,Patsoi,19,Akoijam Mirabai Devi,INC,11499,2022,34836,33.01
3,Patsoi,19,R.K. Rameshwar Singh,NPP,10741,2022,34836,30.83
1,Patsoi,19,Sapam Kunjakeswor (Keba) Singh,BJP,12186,2022,34836,34.98
5,Patsoi,19,Wakambam Ibomcha Singh,JD(U),125,2022,34836,0.36
4,Patsoi,19,NOTA,NOTA,285,2022,34836,0.82
2,Langthabal,20,Okram Joy Singh,INC,8762,2022,26267,33.36
3,Langthabal,20,Karam Nabakishor Singh,NPP,5949,2022,26267,22.65
1,Langthabal,20,Karam Shyam,BJP,10815,2022,26267,41.17
4,Langthabal,20,Hijam Somarendro Singh,IND,504,2022,26267,1.92
5,Langthabal,20,NOTA,NOTA,237,2022,26267,0.9
1,Naoriya Pakhanglakpa,21,Sagolshem Kebi Devi,BJP,11058,2022,32964,33.55
2,Naoriya Pakhanglakpa,21,Soibam Subhaschandra Singh,NPP,10527,2022,32964,31.93
3,Naoriya Pakhanglakpa,21,Soraisham Manaoton Singh,INC,9444,2022,32964,28.65
4,Naoriya Pakhanglakpa,21,Konthoujam Manoranjan Singh,JD(U),1721,2022,32964,5.22
5,Naoriya Pakhanglakpa,21,NOTA,NOTA,214,2022,32964,0.65
2,Wangoi,22,Oinam Lukhoi Singh,BJP,12340,2022,28224,43.72
1,Wangoi,22,KHURAIJAM LOKEN SINGH,NPP,15606,2022,28224,55.29
3,Wangoi,22,Salam Joy Singh,INC,156,2022,28224,0.55
4,Wangoi,22,NOTA,NOTA,122,2022,28224,0.43
3,Mayang Imphal,23,Urikhimbam Ramesh Singh,NPP,7374,2022,30679,24.04
1,Mayang Imphal,23,Kongkham Robindro Singh,BJP,14642,2022,30679,47.73
2,Mayang Imphal,23,Dr. Khumujam Ratankumar Singh,INC,8513,2022,30679,27.75
4,Mayang Imphal,23,NOTA,NOTA,150,2022,30679,0.49
1,Nambol,24,THOUNAOJAM BASANTA KUMAR SINGH,BJP,16885,2022,30834,54.76
2,Nambol,24,NAMEIRAKPAM LOKEN SINGH,INC,13825,2022,30834,44.84
3,Nambol,24,NOTA,NOTA,124,2022,30834,0.4
1,Oinam,25,Irengbam Nalini Devi,NPP,10808,2022,26641,40.57
3,Oinam,25,Thokchom Ithoibi Devi,INC,3289,2022,26641,12.35
2,Oinam,25,Laishram Radhakishore Singh,BJP,10366,2022,26641,38.91
6,Oinam,25,Ashem Babu Singh,SHS,408,2022,26641,1.53
5,Oinam,25,Thingbaijam Swarankumar Singh,JD(U),527,2022,26641,1.98
4,Oinam,25,Laitonjam Brojen Singh,RPI(AT),970,2022,26641,3.64
7,Oinam,25,Ngangom Shivakumar Singh,IND,145,2022,26641,0.54
8,Oinam,25,NOTA,NOTA,128,2022,26641,0.48
1,Bishenpur,26,Konthoujam Govindas Singh,BJP,13611,2022,29558,46.05
3,Bishenpur,26,Ningthoujam Joykumar Singh,INC,3395,2022,29558,11.49
2,Bishenpur,26,Oinam Nabakishore Singh,JD(U),12202,2022,29558,41.28
4,Bishenpur,26,NOTA,NOTA,350,2022,29558,1.18
1,Moirang,27,Thongam Shanti Singh,NPP,14349,2022,36096,39.75
3,Moirang,27,Pukhrem Sharatchandra Singh,INC,9358,2022,36096,25.93
2,Moirang,27,Mairembam Prithviraj Singh,BJP,12118,2022,36096,33.57
4,Moirang,27,NOTA,NOTA,271,2022,36096,0.75
1,Thanga,28,Tongbram Robindro Singh,BJP,13095,2022,21135,61.96
2,Thanga,28,Birla Haobijam,INC,7844,2022,21135,37.11
3,Thanga,28,NOTA,NOTA,196,2022,21135,0.93
4,Kumbi,29,Dr. Khangembam Romesh Singh,INC,1169,2022,26087,4.48
3,Kumbi,29,Ningthoujam Mangi Singh,NPP,7787,2022,26087,29.85
1,Kumbi,29,Sanasam Premchandra Singh,BJP,8513,2022,26087,32.63
