NAME,VOTES,ST_NAME,AC_NAME,ST_CD,AC_NO,#,YEAR,PARTY
NARESH PURI,15933,Punjab,Sujanpur ,S19,1,1.0,2017,IND
DINESH SINGH,15493,Punjab,Sujanpur ,S19,1,2.0,2017,BJP
AMIT SINGH,7554,Punjab,Sujanpur ,S19,1,3.0,2017,INC
NATHA SINGH,4397,Punjab,Sujanpur ,S19,1,4.0,2017,RMPI
KULBHUSHAN SINGH,1150,Punjab,Sujanpur ,S19,1,5.0,2017,AAP
ROMESH SINGH JASROTIA,414,Punjab,Sujanpur ,S19,1,6.0,2017,APP
KARNAIL CHAND,314,Punjab,Sujanpur ,S19,1,8.0,2017,BSP
GURU DUTT SHARMA,252,Punjab,Sujanpur ,S19,1,9.0,2017,IND
SAURAB DUBEY,245,Punjab,Sujanpur ,S19,1,10.0,2017,SS
None of the Above,405,Punjab,Sujanpur ,S19,1,7.0,2017,NOTA
JOGINDER PAL,31184,Punjab,Bhoa,S19,2,1.0,2017,INC
SEEMA KUMARI,19683,Punjab,Bhoa,S19,2,2.0,2017,BJP
LAL CHAND KATARUCHAK,4085,Punjab,Bhoa,S19,2,3.0,2017,RMPI
AMARJEET SINGH,1301,Punjab,Bhoa,S19,2,4.0,2017,AAP
BALBIR RAM FATEHPURIA,428,Punjab,Bhoa,S19,2,5.0,2017,IND
MAHASHA VINOD KUMAR,385,Punjab,Bhoa,S19,2,6.0,2017,IND
MASTER SAMPURAN SINGH SAIDIPUR,356,Punjab,Bhoa,S19,2,7.0,2017,AITC
CHAIN SINGH,291,Punjab,Bhoa,S19,2,8.0,2017,BSP
ANIKA RAY,225,Punjab,Bhoa,S19,2,9.0,2017,APP
DHARMINDER KUMAR,199,Punjab,Bhoa,S19,2,10.0,2017,IND
LUBHAYA RAM,187,Punjab,Bhoa,S19,2,11.5,2017,IND
BALBIR SINGH,177,Punjab,Bhoa,S19,2,13.0,2017,HUP
DALIP SINGH SURAJVANSHI ADVOCATE,103,Punjab,Bhoa,S19,2,14.0,2017,IND
SURINDER KUMAR KALOTRA,83,Punjab,Bhoa,S19,2,15.0,2017,IND
GEETA,70,Punjab,Bhoa,S19,2,16.5,2017,IND
BOBBY SANDHU,70,Punjab,Bhoa,S19,2,16.5,2017,SS
None of the Above,187,Punjab,Bhoa,S19,2,11.5,2017,NOTA
AMIT,43801,Punjab,Pathankot,S19,3,1.0,2017,INC
ASHWANI KUMAR,35714,Punjab,Pathankot,S19,3,2.0,2017,BJP
RAJ KUMAR,5129,Punjab,Pathankot,S19,3,3.0,2017,AAP
ASHOK SHARMA,601,Punjab,Pathankot,S19,3,5.0,2017,IND
ANKUR KHAJURIA,329,Punjab,Pathankot,S19,3,6.0,2017,BSP
SAT PAL,290,Punjab,Pathankot,S19,3,7.0,2017,SS
RAMAN PAL,183,Punjab,Pathankot,S19,3,8.0,2017,IND
RAVI KUMAR,145,Punjab,Pathankot,S19,3,9.0,2017,HUP
SUNITA DEVI,122,Punjab,Pathankot,S19,3,10.0,2017,APP
KIRAN BALA,108,Punjab,Pathankot,S19,3,11.0,2017,HSS
None of the Above,713,Punjab,Pathankot,S19,3,4.0,2017,NOTA
BARINDERMEET SINGH PAHRA,25429,Punjab,Gurdaspur ,S19,4,1.0,2017,INC
GURBACHAN SINGH BABEHALI,16930,Punjab,Gurdaspur ,S19,4,2.0,2017,SAD
AMARJIT SINGH CHAHAL,3058,Punjab,Gurdaspur ,S19,4,3.0,2017,AAP
SUCHA SINGH CHHOTEPUR,563,Punjab,Gurdaspur ,S19,4,4.0,2017,APP
SANDEEP KUMAR,228,Punjab,Gurdaspur ,S19,4,5.0,2017,HSS
MAJOR SOM NATH,216,Punjab,Gurdaspur ,S19,4,7.0,2017,BSP
PANKAJ,111,Punjab,Gurdaspur ,S19,4,8.0,2017,HUP
SWARANJIT SINGH,70,Punjab,Gurdaspur ,S19,4,9.0,2017,IND
None of the Above,225,Punjab,Gurdaspur ,S19,4,6.0,2017,NOTA
ARUNA CHAUDHARY,39322,Punjab,Dina Nagar,S19,5,1.0,2017,INC
BISHAN DASS,21707,Punjab,Dina Nagar,S19,5,2.0,2017,BJP
JOGINDER SINGH,5727,Punjab,Dina Nagar,S19,5,3.0,2017,AAP
SUBASH CHANDER,1600,Punjab,Dina Nagar,S19,5,4.0,2017,CPI
RAJ KUMAR,668,Punjab,Dina Nagar,S19,5,6.0,2017,IND
SARWAN SINGH,454,Punjab,Dina Nagar,S19,5,7.0,2017,APP
RAJ KUMAR,346,Punjab,Dina Nagar,S19,5,8.0,2017,BSP
KASHMIR CHAND,280,Punjab,Dina Nagar,S19,5,9.0,2017,IND
RAJINDER KUMAR,207,Punjab,Dina Nagar,S19,5,10.0,2017,HUP
None of the Above,692,Punjab,Dina Nagar,S19,5,5.0,2017,NOTA
FATEHJANG SINGH BAJWA,21985,Punjab,Qadian,S19,6,1.0,2017,INC
SEWA SINGH,15231,Punjab,Qadian,S19,6,2.0,2017,SAD
KANWAL PREET SINGH,5190,Punjab,Qadian,S19,6,3.0,2017,AAP
MOHINDER SINGH,230,Punjab,Qadian,S19,6,5.0,2017,BSP
VIJAY KUMAR,229,Punjab,Qadian,S19,6,6.0,2017,CPIMLL
ABHIJIT DUGAL,149,Punjab,Qadian,S19,6,7.0,2017,IND
KULWANT SINGH,143,Punjab,Qadian,S19,6,8.0,2017,IND
ROHIT GUPTA,139,Punjab,Qadian,S19,6,9.0,2017,HSS
KULWANT SINGH,128,Punjab,Qadian,S19,6,10.0,2017,APP
CHARANJIT KAUR,92,Punjab,Qadian,S19,6,11.0,2017,IND
GURBACHAN SINGH,77,Punjab,Qadian,S19,6,12.0,2017,SADASSM
RAMAN KUMAR,34,Punjab,Qadian,S19,6,13.0,2017,HUP
None of the Above,365,Punjab,Qadian,S19,6,4.0,2017,NOTA
ASHWANI SEKHRI,18539,Punjab,Batala ,S19,7,1.0,2017,INC
GURPREET SINGH GHUGGI,14526,Punjab,Batala ,S19,7,2.0,2017,AAP
LAKHBIR SINGH LODHINANGAL,12851,Punjab,Batala ,S19,7,3.0,2017,SAD
BAKHSHIS SINGH,277,Punjab,Batala ,S19,7,4.0,2017,BSP
INDER SEKHRI,263,Punjab,Batala ,S19,7,6.0,2017,APP
GURPREET SINGH GHULLI,250,Punjab,Batala ,S19,7,7.0,2017,IND
SANJEEV KUMAR MALHAN,182,Punjab,Batala ,S19,7,8.0,2017,IND
ANIL MAHAJAN,151,Punjab,Batala ,S19,7,9.0,2017,IND
AVTAR SINGH,135,Punjab,Batala ,S19,7,10.0,2017,CPM
SANTOSH KUMAR,80,Punjab,Batala ,S19,7,11.0,2017,IND
LAKHBIR SINGH,79,Punjab,Batala ,S19,7,12.0,2017,IND
ASHWANI KUMAR SHAKRI,77,Punjab,Batala ,S19,7,13.0,2017,IND
ASHWANI KUMAR,72,Punjab,Batala ,S19,7,14.0,2017,IND
None of the Above,270,Punjab,Batala ,S19,7,5.0,2017,NOTA
BALWINDER SINGH,14769,Punjab,Sri Hargobindpur ,S19,8,1.0,2017,INC
MANJIT SINGH,11425,Punjab,Sri Hargobindpur ,S19,8,2.0,2017,SAD
AMARPAL SINGH,4864,Punjab,Sri Hargobindpur ,S19,8,3.0,2017,AAP
GURMEET SINGH,211,Punjab,Sri Hargobindpur ,S19,8,4.0,2017,BSP
OM PARKASH,203,Punjab,Sri Hargobindpur ,S19,8,5.0,2017,APP
SARABJIT SINGH,134,Punjab,Sri Hargobindpur ,S19,8,7.0,2017,IND
SIKANDER SINGH,80,Punjab,Sri Hargobindpur ,S19,8,8.0,2017,IND
None of the Above,188,Punjab,Sri Hargobindpur ,S19,8,6.0,2017,NOTA
TRIPT RAJINDER SINGH BAJWA,22584,Punjab,Fatehgarh Churian ,S19,9,1.0,2017,INC
NIRMAL SINGH KAHLON,21771,Punjab,Fatehgarh Churian ,S19,9,2.0,2017,SAD
GURVINDER SINGH SHAMPURA,4979,Punjab,Fatehgarh Churian ,S19,9,3.0,2017,AAP
GULZAR SINGH,310,Punjab,Fatehgarh Churian ,S19,9,4.0,2017,CPIMLL
AMARJIT SINGH,185,Punjab,Fatehgarh Churian ,S19,9,5.0,2017,BSP
PETER MASIH,162,Punjab,Fatehgarh Churian ,S19,9,7.0,2017,APP
MANPREET SINGH,50,Punjab,Fatehgarh Churian ,S19,9,8.0,2017,IND
None of the Above,178,Punjab,Fatehgarh Churian ,S19,9,6.0,2017,NOTA
SUKHJINDER SINGH RANDHAWA,20303,Punjab,Dera Baba  Nanak ,S19,10,1.0,2017,INC
SUCHA SINGH LANGAH,19308,Punjab,Dera Baba  Nanak ,S19,10,2.0,2017,SAD
GURPARTAP SINGH KHUSHALPUR,4999,Punjab,Dera Baba  Nanak ,S19,10,3.0,2017,AAP
DEEPINDER SINGH,418,Punjab,Dera Baba  Nanak ,S19,10,4.0,2017,APP
SUKHWINDER SINGH,161,Punjab,Dera Baba  Nanak ,S19,10,6.0,2017,IND
DOMINIC MATTU,154,Punjab,Dera Baba  Nanak ,S19,10,7.0,2017,IND
DORTHI,78,Punjab,Dera Baba  Nanak ,S19,10,8.0,2017,IND
BALJIT SINGH,71,Punjab,Dera Baba  Nanak ,S19,10,9.0,2017,AITC
JASBIR SINGH,49,Punjab,Dera Baba  Nanak ,S19,10,10.0,2017,BSP
SURJIT SINGH,25,Punjab,Dera Baba  Nanak ,S19,10,11.0,2017,HUP
None of the Above,301,Punjab,Dera Baba  Nanak ,S19,10,5.0,2017,NOTA
HARPARTAP SINGH,24458,Punjab,Ajnala ,S19,11,1.0,2017,INC
AMARPAL SINGH BONY AJNALA,18415,Punjab,Ajnala ,S19,11,2.0,2017,SAD
RAJPREET SINGH,5224,Punjab,Ajnala ,S19,11,3.0,2017,AAP
BALWINDER SINGH,412,Punjab,Ajnala ,S19,11,4.0,2017,BSP
RATTAN SINGH,217,Punjab,Ajnala ,S19,11,6.5,2017,IND
GURNAM SINGH,217,Punjab,Ajnala ,S19,11,6.5,2017,RMPI
RABART MASIH,187,Punjab,Ajnala ,S19,11,8.0,2017,APP
AMRIK SINGH,184,Punjab,Ajnala ,S19,11,9.0,2017,SADASSM
PAWAN SAREEN,136,Punjab,Ajnala ,S19,11,10.0,2017,SS
NIRMAL SINGH,123,Punjab,Ajnala ,S19,11,11.0,2017,IND
DHANWANT SINGH,119,Punjab,Ajnala ,S19,11,12.0,2017,IND
SATNAM SINGH,86,Punjab,Ajnala ,S19,11,13.0,2017,BSPA
KULWINDER SINGH,82,Punjab,Ajnala ,S19,11,14.0,2017,IND
SUKHDEV SINGH BABA,71,Punjab,Ajnala ,S19,11,15.0,2017,IND
HARPREET SINGH,65,Punjab,Ajnala ,S19,11,16.0,2017,BMP
None of the Above,272,Punjab,Ajnala ,S19,11,5.0,2017,NOTA
VIR SINGH LOPOKE,16816,Punjab,Raja Sansi ,S19,12,1.0,2017,SAD
SUKHBINDER SINGH SARKARIA,16486,Punjab,Raja Sansi ,S19,12,2.0,2017,INC
JAGJOT SINGH DHILLON,2112,Punjab,Raja Sansi ,S19,12,3.0,2017,AAP
VIRSA SINGH,318,Punjab,Raja Sansi ,S19,12,5.0,2017,RMPI
SARDOOL SINGH,301,Punjab,Raja Sansi ,S19,12,6.0,2017,DPIA
LAKHBIR SINGH,250,Punjab,Raja Sansi ,S19,12,7.0,2017,BSP
SHARANJIT SINGH,165,Punjab,Raja Sansi ,S19,12,8.0,2017,IND
BALWINDER SINGH,139,Punjab,Raja Sansi ,S19,12,9.0,2017,IND
YADWINDER SINGH,135,Punjab,Raja Sansi ,S19,12,10.0,2017,IND
KULWANT SINGH,101,Punjab,Raja Sansi ,S19,12,11.0,2017,APP
None of the Above,328,Punjab,Raja Sansi ,S19,12,4.0,2017,NOTA
BIKRAM SINGH MAJITHIA,31524,Punjab,Majitha ,S19,13,1.0,2017,SAD
SUKHJINDER RAJ SINGH (LALLI),21250,Punjab,Majitha ,S19,13,2.0,2017,INC
HIMMAT SINGH SHERGILL,3850,Punjab,Majitha ,S19,13,3.0,2017,AAP
KULWANT SINGH,364,Punjab,Majitha ,S19,13,5.0,2017,SADASSM
SURJIT SINGH,292,Punjab,Majitha ,S19,13,6.0,2017,BSP
HIMMAT SINGH,219,Punjab,Majitha ,S19,13,7.0,2017,IND
WARYAM SINGH,118,Punjab,Majitha ,S19,13,8.0,2017,IND
SUKHJINDER SINGH,104,Punjab,Majitha ,S19,13,9.0,2017,IND
SUKHJINDER SINGH TANEL,97,Punjab,Majitha ,S19,13,10.0,2017,IND
GAGANDEEP KUMAR,92,Punjab,Majitha ,S19,13,11.0,2017,IND
None of the Above,450,Punjab,Majitha ,S19,13,4.0,2017,NOTA
SUKHWINDER SINGH DANNY BANDALA,13484,Punjab,Jandiala ,S19,14,1.0,2017,INC
DALBIR SINGH,10766,Punjab,Jandiala ,S19,14,2.0,2017,SAD
HARBHAJAN SINGH E. T. O.,9173,Punjab,Jandiala ,S19,14,3.0,2017,AAP
HARDEEP SINGH,333,Punjab,Jandiala ,S19,14,4.0,2017,BSPA
SATPAL SINGH PAKHOKE,221,Punjab,Jandiala ,S19,14,6.0,2017,BSP
VIKRAMJIT SINGH,182,Punjab,Jandiala ,S19,14,7.0,2017,DPIA
HARBHAJAN SINGH JANDIALA,174,Punjab,Jandiala ,S19,14,8.0,2017,IND
DALIP SINGH,118,Punjab,Jandiala ,S19,14,9.0,2017,APP
None of the Above,249,Punjab,Jandiala ,S19,14,5.0,2017,NOTA
SUNIL DUTTI,7366,Punjab,Amritsar North,S19,15,1.0,2017,INC
ANIL JOSHI,6097,Punjab,Amritsar North,S19,15,2.0,2017,BJP
MANISH AGGARWAL,2120,Punjab,Amritsar North,S19,15,3.0,2017,AAP
MANJIT SINGH,67,Punjab,Amritsar North,S19,15,5.0,2017,BSP
PARBODH CHANDER BALI,24,Punjab,Amritsar North,S19,15,6.0,2017,IND
ROOP LAL,23,Punjab,Amritsar North,S19,15,7.0,2017,IND
SUSHIL KUMAR,19,Punjab,Amritsar North,S19,15,8.0,2017,ABSD
BAL KRISHAN SHARMA,15,Punjab,Amritsar North,S19,15,9.0,2017,IND
MANISH SHRIDHAR,13,Punjab,Amritsar North,S19,15,11.0,2017,APP
RAHUL KHOSLA,13,Punjab,Amritsar North,S19,15,11.0,2017,HSS
GAURAV MEHRA,13,Punjab,Amritsar North,S19,15,11.0,2017,SLDP
SARABJIT SINGH,10,Punjab,Amritsar North,S19,15,13.0,2017,IND
JEEWAN,5,Punjab,Amritsar North,S19,15,14.0,2017,IND
None of the Above,148,Punjab,Amritsar North,S19,15,4.0,2017,NOTA
RAJ KUMAR VERKA,6390,Punjab,Amritsar West,S19,16,1.0,2017,INC
RAKESH GILL,2701,Punjab,Amritsar West,S19,16,2.0,2017,BJP
BALWINDER SINGH SAHOTA,2450,Punjab,Amritsar West,S19,16,3.0,2017,AAP
GURNAM KAUR,212,Punjab,Amritsar West,S19,16,4.0,2017,CPI
JASWANT SINGH,93,Punjab,Amritsar West,S19,16,5.0,2017,BSP
KULWANT SINGH,64,Punjab,Amritsar West,S19,16,7.0,2017,APP
SATNAM SINGH,55,Punjab,Amritsar West,S19,16,8.0,2017,ABSD
BALWINDER SINGH,39,Punjab,Amritsar West,S19,16,9.0,2017,DSP
LAKHBIR SINGH,38,Punjab,Amritsar West,S19,16,10.0,2017,SLDP
ANKUSH,24,Punjab,Amritsar West,S19,16,11.0,2017,IND
SHAM LAL GANDHIWADI,15,Punjab,Amritsar West,S19,16,12.0,2017,DCP
None of the Above,67,Punjab,Amritsar West,S19,16,6.0,2017,NOTA
OM PARKASH SONI,27100,Punjab,Amritsar Central,S19,17,1.0,2017,INC
TARUN CHUGH,15194,Punjab,Amritsar Central,S19,17,2.0,2017,BJP
AJAY GUPTA,3493,Punjab,Amritsar Central,S19,17,3.0,2017,AAP
RAJESH KUMAR,250,Punjab,Amritsar Central,S19,17,5.0,2017,BSP
AVTAR SINGH,72,Punjab,Amritsar Central,S19,17,6.0,2017,IND
KESHAV KOHLI,70,Punjab,Amritsar Central,S19,17,7.0,2017,APP
ASHOK KUMAR,49,Punjab,Amritsar Central,S19,17,8.5,2017,DSP
SIKANDER,49,Punjab,Amritsar Central,S19,17,8.5,2017,IND
OM PARKASH,41,Punjab,Amritsar Central,S19,17,10.0,2017,IND
None of the Above,430,Punjab,Amritsar Central,S19,17,4.0,2017,NOTA
NAVJOT SINGH SIDHU,29008,Punjab,Amritsar East,S19,18,1.0,2017,INC
RAJESH KUMAR HONEY,7853,Punjab,Amritsar East,S19,18,2.0,2017,BJP
SARABJOT SINGH DHANJAL,5867,Punjab,Amritsar East,S19,18,3.0,2017,AAP
MANDEEP SINGH MANNA,1074,Punjab,Amritsar East,S19,18,4.0,2017,IND
BALDEV SINGH,1038,Punjab,Amritsar East,S19,18,5.0,2017,CPI
TARSEM SINGH,563,Punjab,Amritsar East,S19,18,6.0,2017,BSP
NARINDER SINGH,185,Punjab,Amritsar East,S19,18,8.0,2017,APP
SUKHWINDER SINGH,114,Punjab,Amritsar East,S19,18,9.0,2017,IND
PARMINDER KAUR,92,Punjab,Amritsar East,S19,18,10.0,2017,IND
GURJIT KAUR,90,Punjab,Amritsar East,S19,18,11.5,2017,IND
SANT BALDEV SINGH RATHOR,90,Punjab,Amritsar East,S19,18,11.5,2017,ABSD
AMITA,77,Punjab,Amritsar East,S19,18,13.0,2017,DPIA
AMARJIT SINGH,73,Punjab,Amritsar East,S19,18,14.0,2017,IND
SANDEEP SINGH,62,Punjab,Amritsar East,S19,18,15.0,2017,RPIA
TARSEM LAL,43,Punjab,Amritsar East,S19,18,16.0,2017,BMP
None of the Above,282,Punjab,Amritsar East,S19,18,7.0,2017,NOTA
