ST_CD,AC_NO,NAME,VOTES,ST_NAME,AC_NAME,#,YEAR,polled_votes,vote_percent,PARTY
S05,5,SHRADDHA KHALAP,2321,Goa,Mapusa,4,2017,22764,10.2,AAP
S05,5,DOMNIC ALPHONSO,1543,Goa,Mapusa,5,2017,22764,6.78,IND
S05,5,SANJAY VITHU BARDE,289,Goa,Mapusa,7,2017,22764,1.27,NCP
S05,5,RAMESHWARI MORAJKAR,103,Goa,Mapusa,8,2017,22764,0.45,GSRP
S05,5,None of the Above,409,Goa,Mapusa,6,2017,22764,1.8,NOTA
S05,6,VINODA DATARAMA PALIENCAR,10189,Goa,Siolim,1,2017,23496,43.36,GFP
S05,6,DAYANAND RAYU MANDREKAR,8748,Goa,Siolim,2,2017,23496,37.23,BJP
S05,6,VISHNU MHADDU NAIK,1854,Goa,Siolim,3,2017,23496,7.89,AAP
S05,6,PATRICK SAVIO ALMEIDA,1497,Goa,Siolim,4,2017,23496,6.37,IND
S05,6,PARESH RAIKAR,532,Goa,Siolim,5,2017,23496,2.26,GSM
S05,6,ABHIJIT DHARGALKAR,275,Goa,Siolim,6,2017,23496,1.17,NCP
S05,6,JANARDAN NARAHARI TAMHANKAR,116,Goa,Siolim,8,2017,23496,0.49,BMP
S05,6,MUKESH SAWANT,73,Goa,Siolim,9,2017,23496,0.31,IND
S05,6,None of the Above,212,Goa,Siolim,7,2017,23496,0.9,NOTA
S05,7,JAYESH VIDYADHAR SALGAONKAR,9735,Goa,Saligao,1,2017,21028,46.3,GFP
S05,7,DILIP PARULEKAR,7598,Goa,Saligao,2,2017,21028,36.13,BJP
S05,7,AGNELO NICHOLAS FERNANDES,1616,Goa,Saligao,3,2017,21028,7.68,INC
S05,7,DATTATRAYA VITTAL PADGAONKAR,1330,Goa,Saligao,4,2017,21028,6.32,AAP
S05,7,RAJESH DABHOLKAR,428,Goa,Saligao,5,2017,21028,2.04,SHI
S05,7,GAJANAN RAMA NAIK,150,Goa,Saligao,7,2017,21028,0.71,CPI
S05,7,None of the Above,171,Goa,Saligao,6,2017,21028,0.81,NOTA
S05,8,MICHAEL VINCENT LOBO,11136,Goa,Calangute,1,2017,20084,55.45,BJP
S05,8,JOSEPH ROBERT SEQUEIRA,7311,Goa,Calangute,2,2017,20084,36.4,INC
S05,8,GODWIN FERNANDES,1465,Goa,Calangute,3,2017,20084,7.29,AAP
S05,8,None of the Above,172,Goa,Calangute,4,2017,20084,0.86,NOTA
S05,9,ROHAN KHAUNTE,11174,Goa,Porvorim,1,2017,19656,56.85,IND
S05,9,GURUPRASAD R. PAWASKAR,6961,Goa,Porvorim,2,2017,19656,35.41,BJP
S05,9,RAJESH VALVAIKAR,846,Goa,Porvorim,3,2017,19656,4.3,AAP
S05,9,RAJESH VISHNU SINAI AMONKAR ALIAS RAJESH AMONKAR,222,Goa,Porvorim,4,2017,19656,1.13,MG
S05,9,WILBUR FREDRICK TICLO,144,Goa,Porvorim,6,2017,19656,0.73,IND
S05,9,RAJU D\'SOUZA,133,Goa,Porvorim,7,2017,19656,0.68,SJP
S05,9,None of the Above,176,Goa,Porvorim,5,2017,19656,0.9,NOTA
S05,10,GLENN SOUZA TICLO,9405,Goa,Aldona,1,2017,21606,43.53,BJP
S05,10,AMARNATH PANJIKAR,4949,Goa,Aldona,2,2017,21606,22.91,INC
S05,10,ROSY URSULA D\'SOUZA,3272,Goa,Aldona,3,2017,21606,15.14,AAP
S05,10,MAHESH VITHU SATELKAR,3000,Goa,Aldona,4,2017,21606,13.89,MG
S05,10,ANANDRAO NARAYANRAO NAGVENKAR,643,Goa,Aldona,5,2017,21606,2.98,IND
S05,10,OSBERT D\'CUNHA,141,Goa,Aldona,7,2017,21606,0.65,NCP
S05,10,None of the Above,196,Goa,Aldona,6,2017,21606,0.91,NOTA
S05,11,SIDHARTH SRIPAD KUNCALIENKER,7924,Goa,Panaji,1,2017,17339,45.7,BJP
S05,11,ATANASIO J. MONSERRATE,6855,Goa,Panaji,2,2017,17339,39.54,UGP
S05,11,VALMIKI NAIK,1944,Goa,Panaji,3,2017,17339,11.21,AAP
S05,11,KETAN KIRTIKUMAR PRABHU BHATIKAR,323,Goa,Panaji,4,2017,17339,1.86,GSM
S05,11,DOMINIC SAVIO A. E. FERNANDES,62,Goa,Panaji,6,2017,17339,0.36,NCP
S05,11,DILIP GHADI,36,Goa,Panaji,7,2017,17339,0.21,IND
S05,11,PARSHURAM DODAMANI,20,Goa,Panaji,8,2017,17339,0.12,IND
S05,11,None of the Above,175,Goa,Panaji,5,2017,17339,1.01,NOTA
S05,12,JENNIFER MONSERRATE,11534,Goa,Taleigao,1,2017,22556,51.13,INC
