#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
5,Khanpur,32,Sunil,IND,729,2017,107134,0.68
7,Khanpur,32,Pallavi Kukreti,SSP,373,2017,107134,0.35
8,Khanpur,32,Virender Singh,IND,338,2017,107134,0.32
9,Khanpur,32,Sanjay Singh,UKD,267,2017,107134,0.25
10,Khanpur,32,Rishiram,IND,134,2017,107134,0.13
11,Khanpur,32,Mohd. Arshad,IND,132,2017,107134,0.12
12,Khanpur,32,Rajveer,IND,115,2017,107134,0.11
13,Khanpur,32,Pehal Singh,IND,82,2017,107134,0.08
14,Khanpur,32,Anil Kumar,IND,42,2017,107134,0.04
6,Khanpur,32,None Of The Above,NOTA,523,2017,107134,0.49
1,Manglore,33,Qazi Mohd Nizamuddin,INC,31352,2017,81191,38.62
2,Manglore,33,Sarwat Kareem Ansari,BSP,28684,2017,81191,35.33
3,Manglore,33,Rishipal Baliyan,BJP,16964,2017,81191,20.89
4,Manglore,33,Letesh Kumar,RLD,3265,2017,81191,4.02
5,Manglore,33,Usha,IND,333,2017,81191,0.41
7,Manglore,33,Sunil Kumar,BMP,172,2017,81191,0.21
8,Manglore,33,Uberdur Rahaman,IND,143,2017,81191,0.18
6,Manglore,33,None Of The Above,NOTA,278,2017,81191,0.34
1,Laksar,34,Sanjay Gupta,BJP,25248,2017,78070,32.34
2,Laksar,34,Haji Tasleem Ahmad,INC,23644,2017,78070,30.29
3,Laksar,34,Subhash Singh Choudhary,BSP,19656,2017,78070,25.18
4,Laksar,34,Kushalpal Singh,IND,6087,2017,78070,7.8
5,Laksar,34,Sumit,IND,2415,2017,78070,3.09
7,Laksar,34,Narendra,SP,282,2017,78070,0.36
8,Laksar,34,Ratendra Tiwari,IND,199,2017,78070,0.25
9,Laksar,34,Mempal,SHI,96,2017,78070,0.12
10,Laksar,34,Julfukar Ansari,IND,94,2017,78070,0.12
11,Laksar,34,Nidhi Singh,IND,62,2017,78070,0.08
6,Laksar,34,None Of The Above,NOTA,287,2017,78070,0.37
1,Hardwar Rural,35,Yatishwaranand,BJP,44964,2017,98213,45.78
2,Hardwar Rural,35,Harish Chandra Singh Rawat,INC,32686,2017,98213,33.28
3,Hardwar Rural,35,Mukarram,BSP,18383,2017,98213,18.72
5,Hardwar Rural,35,Subash Chand,UKD,514,2017,98213,0.52
6,Hardwar Rural,35,Renu Notiyal,IND,339,2017,98213,0.35
7,Hardwar Rural,35,Vasim Ahmad,IND,334,2017,98213,0.34
8,Hardwar Rural,35,Mustafa,IND,201,2017,98213,0.2
9,Hardwar Rural,35,Nagendra Singh,IND,147,2017,98213,0.15
4,Hardwar Rural,35,None Of The Above,NOTA,645,2017,98213,0.66
1,Yamkeshwar,36,Ritu Khanduri Bhushan,BJP,19671,2017,45731,43.01
2,Yamkeshwar,36,Renu Bisht,IND,10689,2017,45731,23.37
3,Yamkeshwar,36,Shailendra Singh Rawat,INC,10283,2017,45731,22.49
4,Yamkeshwar,36,Prashant Badoni,IND,2698,2017,45731,5.9
6,Yamkeshwar,36,Shanti Prasad Bhatt,UKD,542,2017,45731,1.19
7,Yamkeshwar,36,Jagpal Singh Negi,BSP,375,2017,45731,0.82
8,Yamkeshwar,36,Kirshan Chandra,IND,250,2017,45731,0.55
9,Yamkeshwar,36,(Brig) Govind Prasad Barthwal,IND,235,2017,45731,0.51
5,Yamkeshwar,36,None Of The Above,NOTA,988,2017,45731,2.16
1,Pauri,37,Mukesh Singh Koli,BJP,26469,2017,48651,54.41
2,Pauri,37,Naval Kishor,INC,19439,2017,48651,39.96
4,Pauri,37,Hari Kumar,IND,593,2017,48651,1.22
5,Pauri,37,Ramesh Chander,BSP,364,2017,48651,0.75
6,Pauri,37,Vir Pratap Singh,UKD,323,2017,48651,0.66
7,Pauri,37,Devaki Nandan Shah,IND,282,2017,48651,0.58
8,Pauri,37,Anil Kumar,UKDD,184,2017,48651,0.38
9,Pauri,37,Vijay Singh,IND,153,2017,48651,0.31
10,Pauri,37,Manohar Lal Pahari,URM,151,2017,48651,0.31
3,Pauri,37,None Of The Above,NOTA,693,2017,48651,1.42
1,Srinagar,38,Dr. Dhan Singh Rawat,BJP,30816,2017,60141,51.24
2,Srinagar,38,Ganesh Godiyal,INC,22118,2017,60141,36.78
3,Srinagar,38,Mohan Prasad Kala,IND,4854,2017,60141,8.07
5,Srinagar,38,Naveen Prakash Nautiyal,IND,608,2017,60141,1.01
6,Srinagar,38,Ganesh Prasad,BSP,532,2017,60141,0.88
7,Srinagar,38,Dhirendra Singh Bisht,UKD,516,2017,60141,0.86
4,Srinagar,38,None Of The Above,NOTA,697,2017,60141,1.16
1,Chaubattakhal,39,Satpal Maharaj,BJP,20921,2017,42850,48.82
2,Chaubattakhal,39,Rajpal Singh Bisht,INC,13567,2017,42850,31.66
3,Chaubattakhal,39,Sunder Singh Chauhan,IND,2545,2017,42850,5.94
4,Chaubattakhal,39,Kavinder Istwal,IND,2339,2017,42850,5.46
5,Chaubattakhal,39,Satendra Singh,IND,965,2017,42850,2.25
6,Chaubattakhal,39,Nandan Singh Rawat,IND,433,2017,42850,1.01
7,Chaubattakhal,39,Ramendra Singh Bhandari,IND,323,2017,42850,0.75
8,Chaubattakhal,39,Anu Pant,UKDD,316,2017,42850,0.74
9,Chaubattakhal,39,Manju Rawat,IND,241,2017,42850,0.56
10,Chaubattakhal,39,Poonam Kaintura,PP,212,2017,42850,0.49
11,Chaubattakhal,39,Bhartendu,BSP,211,2017,42850,0.49
13,Chaubattakhal,39,Subodh Pokhriyal,UKD,196,2017,42850,0.46
14,Chaubattakhal,39,Sushil Chandra,RAP,162,2017,42850,0.38
15,Chaubattakhal,39,Prem Sundriyal,UPP,121,2017,42850,0.28
16,Chaubattakhal,39,Chndra Mohan Mundepi,SP,88,2017,42850,0.21
12,Chaubattakhal,39,None Of The Above,NOTA,210,2017,42850,0.49
1,Lansdowne,40,Daleep Singh Rawat,BJP,22246,2017,39776,55.93
2,Lansdowne,40,Lt. Gen(Retd) Tejpal Singh Rawat  P.V.S.M  V.S.M,INC,15771,2017,39776,39.65
4,Lansdowne,40,Vikram Singh Rawat,UKD,450,2017,39776,1.13
5,Lansdowne,40,Ved Prakash Arya,IND,434,2017,39776,1.09
6,Lansdowne,40,Jagmohan Singh Bisht,IND,226,2017,39776,0.57
7,Lansdowne,40,Manish Sundriyal,IND,164,2017,39776,0.41
3,Lansdowne,40,None Of The Above,NOTA,485,2017,39776,1.22
1,Kotdwar,41,(Dr) Harak Singh Rawat,BJP,39859,2017,71086,56.07
