#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
1,Nuvem,28,Francisco Xavier,GVP,12288.0,2012,21597.0,56.9
2,Nuvem,28,Aleixo Sequeira,INC,8092.0,2012,21597.0,37.47
3,Nuvem,28,Abdul Aziz Hassansha,IND,482.0,2012,21597.0,2.23
4,Nuvem,28,Marcos Menino D'Souza,IND,279.0,2012,21597.0,1.29
5,Nuvem,28,Prabhakar Rupo Gaude,MAG,250.0,2012,21597.0,1.16
6,Nuvem,28,Peter Francisco,IND,206.0,2012,21597.0,0.95
1,Curtorim,29,Aleixo Reginaldo,INC,11221.0,2012,19647.0,57.11
2,Curtorim,29,Domnic Gaonkar,IND,7152.0,2012,19647.0,36.4
3,Curtorim,29,Raju Krishnamurthy Iyer,IND,603.0,2012,19647.0,3.07
4,Curtorim,29,Conceicao Santano Dias,UGDP,515.0,2012,19647.0,2.62
5,Curtorim,29,William D'Cruz,JD(U),156.0,2012,19647.0,0.79
1,Fatorda,30,Vijai Sardesai,IND,10375.0,2012,21441.0,48.39
2,Fatorda,30,Damodar (Damu) G. Naik,BJP,8436.0,2012,21441.0,39.35
3,Fatorda,30,Arthur D'Silva,IND,1126.0,2012,21441.0,5.25
4,Fatorda,30,Piedade Noronha E Silva,AITC,695.0,2012,21441.0,3.24
5,Fatorda,30,M. K. Shaikh,INC,660.0,2012,21441.0,3.08
6,Fatorda,30,Ashok Tukaram,SP,57.0,2012,21441.0,0.27
7,Fatorda,30,Dias Jawahar,IND,47.0,2012,21441.0,0.22
8,Fatorda,30,Anwar Sayed,AIMF,45.0,2012,21441.0,0.21
1,Margao,31,Digambar Kamat,INC,12041.0,2012,22149.0,54.36
2,Margao,31,Mahatme Rupesh,BJP,7589.0,2012,22149.0,34.26
3,Margao,31,Coutinho Savio Hugo,AITC,1873.0,2012,22149.0,8.46
4,Margao,31,Ivo Almeida Coutinho,IND,396.0,2012,22149.0,1.79
